Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,28216,Brian Gillis; Katherine Snyder,,English,R1B,014,A,Letter Grade,A+,Reading And Comp
1,3,,,28237,Susan Schweik,,English,26,001,A,Letter Grade,A+,Intro To Poetry
1,1,,,28240,Evan Klavon; Geoffrey O'Brien,,English,43B,001,A,Letter Grade,A+,Intro/Writing Verse
1,2,,,28282,Charles Altieri,,English,45C,001,A,Letter Grade,A+,Lit In English
1,1,,,28393,Jeffrey Knapp,,English,117S,002,A,Letter Grade,A+,Shakespeare
1,2,,,28411,Joseph Lavery,,English,122,001,A,Letter Grade,A+,Victorian Period
1,1,,,28429,Charles Altieri,,English,128,001,A,Letter Grade,A+,Modern Drama
1,2,,,28432,Mitchell Breitwieser,,English,130B,001,A,Letter Grade,A+,Amer Lit: 1800-1865
1,2,,,28447,Stephen Best,,English,133B,001,A,Letter Grade,A+,Af Am Since 1917
1,2,,,28450,Greil Marcus; Kathleen Moran,,English,C136,001,A,Letter Grade,A+,American Studies
1,2,,,28471,Poulomi Saha,,English,138,001,A,Letter Grade,A+,Stud Wor Lit Eng
1,1,,,28486,John Shoptaw,,English,143B,001,A,Letter Grade,A+,Verse
1,7,,,28501,Geoffrey O'Brien,,English,165,002,A,Letter Grade,A+,Special Topics
1,2,,,28504,Joseph Lavery,,English,165,003,A,Letter Grade,A+,Special Topics
1,3,,,28531,Eric Falci,,English,170,001,A,Letter Grade,A+,Lit & The Arts
1,4,,,28561,Mark Danner,,English,190,002,A,Letter Grade,A+,Research Seminar
1,1,,,28564,Mitchell Breitwieser,,English,190,003,A,Letter Grade,A+,Research Seminar
1,6,,,28567,Nadia Ellis,,English,190,004,A,Letter Grade,A+,Research Seminar
1,1,,,28570,Eric Falci,,English,190,005,A,Letter Grade,A+,Research Seminar
1,1,,,28573,Jeffrey Knapp,,English,190,006,A,Letter Grade,A+,Research Seminar
1,1,,,28576,Catherine Flynn,,English,190,007,A,Letter Grade,A+,Research Seminar
1,2,,,28582,Chad Crosson,,English,190,009,A,Letter Grade,A+,Research Seminar
1,1,,,28594,Anne-Lise Francois,,English,190,013,A,Letter Grade,A+,Research Seminar
1,3,,,28600,Scott Saul,,English,H195B,002,A,Letter Grade,A+,Honors Course
1,1,,,28771,Ian Duncan,,English,203,001,A,Letter Grade,A+,Graduate Readings
1,2,,,28783,Emily Thornbury,,English,205B,001,A,Letter Grade,A+,Old English
1,3,,,28792,Janet Sorensen,,English,246F,001,A,Letter Grade,A+,Grad Pro-Seminars
1,3,,,28798,Stephen Best,,English,250,002,A,Letter Grade,A+,Research Seminars
2,2,,,28153,Jason Trevino; Katherine Snyder,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,2,,,28156,Frank Cruz; Katherine Snyder,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,3,,,28159,Gabriella Wyatt; Katherine Snyder,,English,R1A,003,A,Letter Grade,A,Reading And Comp
2,1,,,28162,Evan Wilson; Katherine Snyder,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,1,,,28165,Katherine Snyder; Timothy Heimlich,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,2,,,28171,Allison Neal; Katherine Snyder,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,1,,,28174,Katherine Snyder; Tyleen Kelly,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,3,,,28177,Joseph Albernaz; Katherine Snyder,,English,R1B,001,A,Letter Grade,A,Reading And Comp
2,7,,,28180,Irene Yoon; Katherine Snyder,,English,R1B,002,A,Letter Grade,A,Reading And Comp
2,7,,,28186,Katherine Snyder; Rebecca Clark,,English,R1B,004,A,Letter Grade,A,Reading And Comp
2,2,,,28189,Ismail Muhammad; Katherine Snyder,,English,R1B,005,A,Letter Grade,A,Reading And Comp
2,1,,,28192,Jose Villagrana; Katherine Snyder,,English,R1B,006,A,Letter Grade,A,Reading And Comp
2,2,,,28198,Katherine Snyder; Kathryn Fleishman,,English,R1B,008,A,Letter Grade,A,Reading And Comp
2,9,,,28201,Katherine Snyder; Shannon Chamberlain,,English,R1B,009,A,Letter Grade,A,Reading And Comp
2,4,,,28204,Katherine Snyder; Rachel Lewis,,English,R1B,010,A,Letter Grade,A,Reading And Comp
2,1,,,28207,Jocelyn Rodal; Katherine Snyder,,English,R1B,011,A,Letter Grade,A,Reading And Comp
2,4,,,28210,Charity Ketz; Katherine Snyder,,English,R1B,012,A,Letter Grade,A,Reading And Comp
2,7,,,28213,Katherine Snyder; Sarah Mangin,,English,R1B,013,A,Letter Grade,A,Reading And Comp
2,9,,,28216,Brian Gillis; Katherine Snyder,,English,R1B,014,A,Letter Grade,A,Reading And Comp
2,8,,,28219,Daniel Benjamin; Katherine Snyder,,English,R1B,015,A,Letter Grade,A,Reading And Comp
2,6,,,28225,Katherine Snyder; Mary Wilson,,English,R1B,017,A,Letter Grade,A,Reading And Comp
2,4,,,28228,Katherine Snyder; Mark Bauer,,English,R1B,018,A,Letter Grade,A,Reading And Comp
2,19,,,28231,Eric Falci; Serena Le,,English,20,001,A,Letter Grade,A,Modern Brit/Am Lit
2,10,,,28237,Susan Schweik,,English,26,001,A,Letter Grade,A,Intro To Poetry
2,12,,,28240,Evan Klavon; Geoffrey O'Brien,,English,43B,001,A,Letter Grade,A,Intro/Writing Verse
2,2,,,28243,Steven Justice,,English,45A,001,A,Letter Grade,A,Lit In English
2,12,,,28252,David Marno,,English,45A,002,A,Letter Grade,A,Lit In English
2,14,,,28261,Ian Duncan,,English,45B,001,A,Letter Grade,A,Lit In English
2,11,,,28273,Janet Sorensen,,English,45B,002,A,Letter Grade,A,Lit In English
2,6,,,28282,Charles Altieri,,English,45C,001,A,Letter Grade,A,Lit In English
2,15,,,28291,Steven Lee,,English,45C,002,A,Letter Grade,A,Lit In English
2,10,,,28390,Oliver Arnold,,English,117S,001,A,Letter Grade,A,Shakespeare
2,8,,,28393,Jeffrey Knapp,,English,117S,002,A,Letter Grade,A,Shakespeare
2,27,,,28411,Joseph Lavery,,English,122,001,A,Letter Grade,A,Victorian Period
2,25,,,28414,Hertha Wong,,English,125E,001,A,Letter Grade,A,Contemporary Novel
2,12,,,28426,Catherine Flynn,,English,126,001,A,Letter Grade,A,British Lit/1900-45
2,5,,,28429,Charles Altieri,,English,128,001,A,Letter Grade,A,Modern Drama
2,8,,,28432,Mitchell Breitwieser,,English,130B,001,A,Letter Grade,A,Amer Lit: 1800-1865
