Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,27986,Christopher Miller; David Landreth,,English,R1A,012,A,Letter Grade,A+,Reading And Comp
1,2,,,27989,David Landreth; Sookyoung Lee,,English,R1A,013,A,Letter Grade,A+,Reading And Comp
1,4,,,28028,David Landreth; Jill Richards,,English,R1B,007,A,Letter Grade,A+,Reading And Comp
1,1,,,28043,David Landreth; Stephanie Moore,,English,R1B,012,A,Letter Grade,A+,Reading And Comp
1,1,,,28044,David Landreth; Seulghee Lee,,English,R1B,013,A,Letter Grade,A+,Reading And Comp
1,1,,,28049,David Landreth,,English,45A,001,A,Letter Grade,A+,Lit In English
1,1,,,28058,Steven Justice,,English,45A,002,A,Letter Grade,A+,Lit In English
1,4,,,28070,Steven Goldsmith,,English,45B,001,A,Letter Grade,A+,Lit In English
1,4,,,28097,Charles Altieri,,English,45C,001,A,Letter Grade,A+,Lit In English
1,5,,,28220,Katherine O'Brien O'Keeffe,,English,104,001,A,Letter Grade,A+,Intro To Old Engl
1,3,,,28250,Mitchell Breitwieser,,English,130C,001,A,Letter Grade,A+,Am Lit: 1865-1900
1,3,,,28253,Geoffrey O'Brien,,English,131,001,A,Letter Grade,A+,American Poetry
1,4,,,28255,Kenneth Speirs,,English,132,001,A,Letter Grade,A+,American Novel
1,2,,,28256,R Gonzalez,,English,135AC,001,A,Letter Grade,A+,Lit Amer Cultures
1,3,,,28280,Lyn Hejinian,,English,143B,001,A,Letter Grade,A+,Verse
1,1,,,28286,Catherine Walsh,,English,143B,003,A,Letter Grade,A+,Verse
1,6,,,28295,Johann Heinrich Christoph Bode,,English,166,001,A,Letter Grade,A+,Special Topics
1,2,,,28301,Philip Gotanda,,English,166,003,A,Letter Grade,A+,Special Topics
1,1,,,28304,D Miller,,English,166,004,A,Letter Grade,A+,Special Topics
1,2,,,28321,D Miller,,English,190,002,A,Letter Grade,A+,Research Seminar
1,1,,,28328,Megan Pugh,,English,190,005,A,Letter Grade,A+,Research Seminar
1,3,,,28343,John Shoptaw,,English,190,011,A,Letter Grade,A+,Research Seminar
1,1,,,28349,Justin Eichenlaub,,English,190,015,A,Letter Grade,A+,Research Seminar
1,1,,,28352,Dominika Bednarska,,English,190,017,A,Letter Grade,A+,Research Seminar
1,2,,,28529,Johann Heinrich Christoph Bode,,English,203,002,A,Letter Grade,A+,Graduate Readings
1,1,,,28538,James Turner,,English,218,001,A,Letter Grade,A+,Milton
1,2,,,28541,Bharati Blaise,,English,243A,001,A,Letter Grade,A+,Fiction Workshop
1,1,,,28580,Kathleen Donegan,,English,298,008,A,Letter Grade,A+,Special Studies
1,1,,,28595,R Gonzalez,,English,298,013,A,Letter Grade,A+,Special Studies
1,1,,,28652,Genaro Padilla,,English,298,032,A,Letter Grade,A+,Special Studies
2,2,,,27953,David Landreth; Jessica Ling,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,7,,,27955,David Landreth; Lauren Naturale,,English,R1A,021,A,Letter Grade,A,Reading And Comp
2,2,,,27956,David Landreth; Ryan Perry,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,1,,,27959,David Landreth; Michelle Ty,,English,R1A,003,A,Letter Grade,A,Reading And Comp
2,5,,,27962,David Landreth; Serena Le,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,1,,,27965,Charles Creasy; David Landreth,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,2,,,27971,David Landreth; Leila Mansouri,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,1,,,27974,David Landreth; Megan O'Connor,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,3,,,27977,David Landreth; Richard Lee,,English,R1A,009,A,Letter Grade,A,Reading And Comp
2,3,,,27980,David Landreth; Nicholas Junkerman,,English,R1A,010,A,Letter Grade,A,Reading And Comp
2,7,,,27983,David Landreth; Rasheed Tazudeen,,English,R1A,011,A,Letter Grade,A,Reading And Comp
2,2,,,27986,Christopher Miller; David Landreth,,English,R1A,012,A,Letter Grade,A,Reading And Comp
2,4,,,27989,David Landreth; Sookyoung Lee,,English,R1A,013,A,Letter Grade,A,Reading And Comp
