Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,14544,Brandon Callender; Katherine Snyder,,English,R1B,001,A,Letter Grade,A+,Reading And Comp
1,1,,,14560,Brian Gillis; Katherine Snyder,,English,R1B,017,A,Letter Grade,A+,Reading And Comp
1,2,,,14572,Ian Duncan,,English,45B,001,A,Letter Grade,A+,Lit In English
1,1,,,14580,Catherine Flynn,,English,45C,002,A,Letter Grade,A+,Lit In English
1,1,,,14613,Steven Justice,,English,111,001,A,Letter Grade,A+,Chaucer
1,1,,,14614,Jennifer Miller,,English,114A,001,A,Letter Grade,A+,English Drama
1,1,,,14616,Charles Altieri,,English,117S,001,A,Letter Grade,A+,Shakespeare
1,3,,,14617,Jeffrey Knapp,,English,117S,002,A,Letter Grade,A+,Shakespeare
1,2,,,14670,Nadia Ellis,,English,190,001,A,Letter Grade,A+,Research Seminar
1,1,,,14673,D Miller,,English,190,004,A,Letter Grade,A+,Research Seminar
1,2,,,14676,Wendy Xin,,English,190,007,A,Letter Grade,A+,Research Seminar
1,4,,,14677,Janet Sorensen,,English,190,008,A,Letter Grade,A+,Research Seminar
1,1,,,14679,Jeffrey Knapp,,English,190,010,A,Letter Grade,A+,Research Seminar
1,1,,,14680,Donna Jones,,English,190,011,A,Letter Grade,A+,Research Seminar
1,6,,,14683,David Marno,,English,H195B,001,A,Letter Grade,A+,Honors Course
1,3,,,14684,Celeste Langan,,English,H195B,002,A,Letter Grade,A+,Honors Course
1,2,,,14742,Abdul Janmohamed,,English,203,002,A,Letter Grade,A+,Graduate Readings
1,1,,,14745,Katherine O'Brien O'Keeffe,,English,205B,001,A,Letter Grade,A+,Old English
1,2,,,14754,Nadia Ellis,,English,298,002,A,Letter Grade,A+,Special Studies
1,1,,,31116,David Landreth,,English,28,001,A,Letter Grade,A+,Intro To Drama
1,4,,,31118,Joseph Lavery,,English,80K,001,A,Letter Grade,A+,Children'S Lit
1,4,,,31119,Emily Thornbury,,English,105,001,A,Letter Grade,A+,Anglo-Saxon England
1,2,,,31122,Kathleen Donegan,,English,130A,001,A,Letter Grade,A+,Am Lit: Before 1800
1,1,,,31124,Abdul Janmohamed,,English,139,001,A,Letter Grade,A+,Cultures Of English
1,1,,,31127,Geoffrey O'Brien,,English,180L,001,A,Letter Grade,A+,Lyric Verse
1,2,,,31142,Colleen Lye,,English,166,001,A,Letter Grade,A+,Special Topics
1,3,,,31143,Anne-Lise Francois,,English,166,002,A,Letter Grade,A+,Special Topics
1,2,,,31146,Eric Falci,,English,166,005,A,Letter Grade,A+,Special Topics
2,1,,,14536,Frank Cruz; Katherine Snyder,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,6,,,14537,Katherine Snyder; Mark Scott,,English,R1A,002,A,Letter Grade,A,Reading And Comp
