Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,243N,Pr Nonfic Wr Wkshp,Primary,Lecture,0,,,15,,0,1,,,,0,,0,,0,,,,0,
English,246C,Graduate Proseminar,Primary,Lecture,1,,,5,,5,4,,,,100,,0,,0,,5,,1,
English,246F,Grad Pro-Seminars,Primary,Lecture,,1,1,,9,,,4,9,9,,100,,0,,0,,9,,1
English,246K,Grad Pro-Seminars,Primary,Lecture,1,,,7,,7,6,,,,100,,0,,0,,7,,1,
English,250,Research Seminars,Primary,Seminar,,3,3,,37,,,30,36,37,,97.2972972972973,,0,,0,,12,,2
English,250,Research Seminars,Primary,Seminar,3,,,26,,23,8,,,,88.4615384615385,,0,,0,,7.66666666666667,,1,
English,310,Field Studies,Primary,Field Work,,1,1,,30,,,0,4,4,,13.3333333333333,,0,,0,,4,,0
English,310,Field Studies,Primary,Field Work,1,,,30,,3,0,,,,10,,0,,0,,3,,0,
English,375,Teaching Comp/Lit,Primary,Lecture,,1,1,,15,,,2,9,9,,60,,0,,0,,9,,0
English,375,Teaching Comp/Lit,Primary,Lecture,1,,,15,,15,2,,,,100,,0,,0,,15,,1,
