Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,27895,David Landreth; Sookyoung Lee,,English,R1B,004,A,Letter Grade,A+,Reading And Comp
1,2,,,27928,David Landreth; Jill Richards,,English,R1B,015,A,Letter Grade,A+,Reading And Comp
1,3,,,27937,Andrea Seeger; David Landreth,,English,R1B,018,A,Letter Grade,A+,Reading And Comp
1,1,,,27955,Alan Nelson,,English,45A,001,A,Letter Grade,A+,Lit In English
1,2,,,27964,Oliver Arnold,,English,45A,002,A,Letter Grade,A+,Lit In English
1,2,,,27988,Mitchell Breitwieser,,English,45B,002,A,Letter Grade,A+,Lit In English
1,1,,,28000,Steven Lee,,English,45C,001,A,Letter Grade,A+,Lit In English
1,1,,,28105,Joseph Jordan,,English,114B,001,A,Letter Grade,A+,English Drama
1,2,,,28123,Jeffrey Knapp,,English,117S,001,A,Letter Grade,A+,Shakespeare
1,1,,,28135,Joseph Jordan,,English,122,001,A,Letter Grade,A+,Victorian Period
1,1,,,28138,George Starr,,English,125A,001,A,Letter Grade,A+,English Novel
1,1,,,28147,Charles Altieri,,English,127,001,A,Letter Grade,A+,Modern Poetry
1,2,,,28150,Donald Mcquade,,English,130B,001,A,Letter Grade,A+,Amer Lit: 1800-1865
1,4,,,28180,Bharati Blaise,,English,143A,002,A,Letter Grade,A+,Short Fiction
1,1,,,28189,Thomas Farber,,English,143N,001,A,Letter Grade,A+,Prose Nonfiction
1,1,,,28204,Justin Eichenlaub,,English,166,003,A,Letter Grade,A+,Special Topics
1,2,,,28210,D Miller,,English,173,001,A,Letter Grade,A+,Lang/Lit Of Films
1,5,,,28222,Kenneth Speirs,,English,180N,001,A,Letter Grade,A+,The Novel
1,4,,,28258,Robert Hirst,,English,190,012,A,Letter Grade,A+,Research Seminar
1,3,,,28276,Eric Falci,,English,H195B,001,A,Letter Grade,A+,Honors Course
1,4,,,28279,Scott Saul,,English,H195B,002,A,Letter Grade,A+,Honors Course
1,4,,,28486,Ian Duncan,,English,298,009,A,Letter Grade,A+,Special Studies
1,1,,,28498,R Gonzalez,,English,298,013,A,Letter Grade,A+,Special Studies
1,1,,,28612,R Gonzalez,,English,299,004,A,Letter Grade,A+,Special Study
