Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,5,,,14713,Eric Falci,,English,45C,001,A,Letter Grade,A+,Lit In English
1,1,,,14732,Katherine Snyder; Mark Scott,,English,R1B,008,A,Letter Grade,A+,Reading And Comp
1,1,,,14744,Hannah Ehrlinspiel; Katherine Snyder,,English,R1A,004,A,Letter Grade,A+,Reading And Comp
1,2,,,14753,Brian Gillis; Katherine Snyder,,English,R1B,001,A,Letter Grade,A+,Reading And Comp
1,8,,,14776,Lyn Hejinian,,English,134,001,A,Letter Grade,A+,Contemp Lit
1,8,,,14781,Geoffrey O'Brien,,English,131,001,A,Letter Grade,A+,American Poetry
1,8,,,14784,Kathleen Donegan,,English,165,001,A,Letter Grade,A+,Special Topics
1,4,,,14791,Katherine O'Brien O'Keeffe,,English,104,001,A,Letter Grade,A+,Intro To Old Engl
1,1,,,14803,John Shoptaw,,English,190,001,A,Letter Grade,A+,Research Seminar
1,3,,,14804,Lyn Hejinian,,English,190,002,A,Letter Grade,A+,Research Seminar
1,1,,,14807,Julia Bader,,English,190,005,A,Letter Grade,A+,Research Seminar
1,2,,,14809,John Shoptaw,,English,143B,001,A,Letter Grade,A+,Verse
1,2,,,14813,Stephen Best,,English,190,008,A,Letter Grade,A+,Research Seminar
1,2,,,14852,Katherine O'Brien O'Keeffe,,English,298,002,A,Letter Grade,A+,Special Studies
1,2,,,31796,Emily Thornbury,,English,110,001,A,Letter Grade,A+,Medieval Literature
1,5,,,31871,David Marno,,English,117T,001,A,Letter Grade,A+,Shakespeare/Theatre
1,1,,,31882,Ian Duncan,,English,170,002,A,Letter Grade,A+,Lit & The Arts
1,1,,,31883,Scott Saul,,English,174,001,A,Letter Grade,A+,Lit & History
1,1,,,31979,Scott Saul,,English,143N,003,A,Letter Grade,A+,Prose Nonfiction
1,1,,,31980,Emily Thornbury,,English,170,001,A,Letter Grade,A+,Lit & The Arts
1,8,,,34935,Katherine Mezur,,English,R1B,014,A,Letter Grade,A+,Reading And Comp
1,6,,,34936,Katherine Mezur,,English,R1B,015,A,Letter Grade,A+,Reading And Comp
2,10,,,14687,Charles Blanton,,English,45B,002,A,Letter Grade,A,Lit In English
2,27,,,14700,Nadia Ellis,,English,31AC,001,A,Letter Grade,A,Lit Amer Cultures
2,24,,,14713,Eric Falci,,English,45C,001,A,Letter Grade,A,Lit In English
2,2,,,14714,Mark Goble,,English,45C,002,A,Letter Grade,A,Lit In English
2,6,,,14729,Garrison Sposito; Robert Hass,,English,C77,001,A,Letter Grade,A,Int Environ Studies
2,4,,,14732,Katherine Snyder; Mark Scott,,English,R1B,008,A,Letter Grade,A,Reading And Comp
2,5,,,14734,Katherine Snyder; Ryan McWilliams,,English,R1B,010,A,Letter Grade,A,Reading And Comp
2,5,,,14736,Diana Wise; Katherine Snyder,,English,R1B,012,A,Letter Grade,A,Reading And Comp
2,6,,,14737,Daniel Valella; Katherine Snyder,,English,R1B,013,A,Letter Grade,A,Reading And Comp
2,1,,,14741,Jessica Ling; Katherine Snyder,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,5,,,14742,Katherine Snyder; Sarah Johnson,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,6,,,14744,Hannah Ehrlinspiel; Katherine Snyder,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,1,,,14745,Atti Viragh; Katherine Snyder,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,2,,,14746,Katherine Bondy; Katherine Snyder,,English,R1A,006,A,Letter Grade,A,Reading And Comp
2,2,,,14747,Brandon Callender; Katherine Snyder,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,1,,,14748,Jason De Stefano; Katherine Snyder,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,1,,,14749,Katherine Snyder; Raphael Magarik,,English,R1A,009,A,Letter Grade,A,Reading And Comp
