Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,R1A,Reading And Comp,Primary,Lecture,,8,8,,160,,,264,143,143,,89.375,,0,,0,,17.875,,8
English,R1A,Reading And Comp,Primary,Lecture,3,,,53,,52,218,,,,98.1132075471698,,0,,0,,17.3333333333333,,2,
English,R1B,Reading And Comp,Primary,Lecture,,11,11,,256,,,220,188,188,,73.4375,,1,,0,,17.0909090909091,,11
English,R1B,Reading And Comp,Primary,Lecture,14,,,245,,245,330,,,,100,,0,,0,,17.5,,14,
English,24,Freshman Seminars,Primary,Seminar,,2,2,,37,,,25,22,22,,59.4594594594595,,0,,0,,11,,2
English,24,Freshman Seminars,Primary,Seminar,3,,,35,,35,42,,,,100,,0,,0,,11.6666666666667,,3,
English,27,Intro To Fiction,Primary,Lecture,,0,0,,0,,,,0,0,,,,0,,0,,,,0
English,31AC,Lit Amer Cultures,Primary,Lecture,,1,1,,48,,,56,48,48,,100,,2,,0,,48,,1
English,31AC,Lit Amer Cultures,Primary,Lecture,0,,,0,,0,,,,,,,0,,0,,,,0,
English,45A,Lit In English,Primary,Lecture,,2,2,,117,,,61,115,116,,98.2905982905983,,2,,0,,57.5,,1
English,45A,Lit In English,Primary,Lecture,2,,,128,,125,73,,,,97.65625,,0,,0,,62.5,,0,
English,45B,Lit In English,Primary,Lecture,,2,2,,161,,,82,160,160,,99.3788819875776,,1,,0,,80,,1
English,45B,Lit In English,Primary,Lecture,2,,,153,,149,58,,,,97.3856209150327,,0,,0,,74.5,,0,
English,45C,Lit In English,Primary,Lecture,,2,2,,163,,,109,158,158,,96.9325153374233,,0,,0,,79,,1
English,45C,Lit In English,Primary,Lecture,2,,,150,,148,68,,,,98.6666666666667,,0,,0,,74,,1,
English,C77,Int Environ Studies,Primary,Lecture,,1,1,,34,,,119,34,34,,100,,0,,0,,34,,1
English,C77,Int Environ Studies,Primary,Lecture,0,,,0,,0,,,,,,,0,,0,,,,0,
English,84,Sophomore Seminar,Primary,Seminar,,1,1,,14,,,25,14,14,,100,,0,,0,,14,,1
English,84,Sophomore Seminar,Primary,Seminar,2,,,24,,21,51,,,,87.5,,0,,0,,10.5,,0,
