Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,R1A,Reading And Comp,Primary,Lecture,,11,11,,160,,,127,160,159,,100,,0,,0,,14.5454545454545,,11
English,R1A,Reading And Comp,Primary,Lecture,7,,,116,,116,175,,,,100,,0,,0,,16.5714285714286,,7,
English,R1B,Reading And Comp,Primary,Lecture,,21,21,,336,,,443,335,328,,99.702380952381,,0,,0,,15.952380952381,,20
English,R1B,Reading And Comp,Primary,Lecture,22,,,349,,349,323,,,,100,,0,,0,,15.8636363636364,,22,
English,20,Modern Brit/Am Lit,Primary,Lecture,1,,,24,,10,9,,,,41.6666666666667,,0,,0,,10,,0,
English,24,Freshman Seminars,Primary,Seminar,,3,3,,31,,,68,31,30,,100,,0,,0,,10.3333333333333,,3
English,24,Freshman Seminars,Primary,Seminar,4,,,41,,40,127,,,,97.5609756097561,,0,,0,,10,,3,
English,37,Chicana/O Lit & Cul,Primary,Lecture,1,,,18,,17,2,,,,94.4444444444444,,0,,0,,17,,0,
English,43B,Intro/Writing Verse,Primary,Lecture,,1,1,,28,,,11,16,16,,57.1428571428571,,0,,0,,16,,0
English,43B,Intro/Writing Verse,Primary,Lecture,1,,,28,,7,17,,,,25,,0,,0,,7,,0,
English,45A,Lit In English,Primary,Lecture,,2,2,,112,,,21,112,112,,100,,0,,0,,56,,2
English,45A,Lit In English,Primary,Lecture,1,,,93,,92,22,,,,98.9247311827957,,0,,0,,92,,0,
English,45B,Lit In English,Primary,Lecture,,2,2,,140,,,12,140,140,,100,,0,,0,,70,,2
English,45B,Lit In English,Primary,Lecture,2,,,121,,121,36,,,,100,,0,,0,,60.5,,2,
English,45C,Lit In English,Primary,Lecture,,2,2,,122,,,18,122,122,,100,,0,,0,,61,,2
English,45C,Lit In English,Primary,Lecture,2,,,113,,113,49,,,,100,,0,,0,,56.5,,2,
English,84,Sophomore Seminar,Primary,Seminar,,1,1,,19,,,44,19,18,,100,,0,,0,,19,,1
English,84,Sophomore Seminar,Primary,Seminar,2,,,35,,33,76,,,,94.2857142857143,,0,,0,,16.5,,0,
English,98,Directed Group Stdy,Primary,Directed Group Study,,13,13,,366,,,0,143,143,,39.0710382513661,,0,,0,,11,,0
English,98,Directed Group Stdy,Primary,Directed Group Study,10,,,421,,121,17,,,,28.7410926365796,,0,,0,,12.1,,0,
English,102,Topics In Eng Lang,Primary,Lecture,,1,1,,24,,,23,24,23,,100,,0,,0,,24,,1
English,102,Topics In Eng Lang,Primary,Lecture,1,,,23,,23,22,,,,100,,0,,0,,23,,1,
English,110,Medieval Literature,Primary,Lecture,1,,,64,,62,42,,,,96.875,,0,,0,,62,,0,
English,111,Chaucer,Primary,Lecture,1,,,24,,24,19,,,,100,,0,,0,,24,,1,
English,114A,English Drama,Primary,Lecture,1,,,34,,33,28,,,,97.0588235294118,,0,,0,,33,,0,
English,114B,English Drama,Primary,Lecture,,1,1,,62,,,67,61,61,,98.3870967741936,,1,,0,,61,,0
English,117B,Shakespeare,Primary,Lecture,,1,1,,57,,,1,54,53,,94.7368421052632,,0,,0,,54,,0
English,117S,Shakespeare,Primary,Lecture,,1,1,,120,,,11,120,120,,100,,0,,0,,120,,1
English,117S,Shakespeare,Primary,Lecture,2,,,120,,119,28,,,,99.1666666666667,,0,,0,,59.5,,1,
English,118,Milton,Primary,Lecture,1,,,25,,24,26,,,,96,,0,,0,,24,,0,
English,119,Lit Rest & Ear 18 C,Primary,Lecture,,1,1,,55,,,47,55,54,,100,,0,,0,,55,,1
English,120,Lit Later 18th Cent,Primary,Lecture,,1,1,,43,,,43,43,42,,100,,0,,0,,43,,1
English,120,Lit Later 18th Cent,Primary,Lecture,1,,,38,,38,44,,,,100,,0,,0,,38,,1,
English,121,Romantic Period,Primary,Lecture,1,,,19,,19,9,,,,100,,0,,0,,19,,1,
English,122,Victorian Period,Primary,Lecture,,1,1,,53,,,91,53,53,,100,,0,,0,,53,,1
English,125A,English Novel,Primary,Lecture,,1,1,,40,,,54,40,40,,100,,0,,0,,40,,1
English,125B,English Novel,Primary,Lecture,,1,1,,48,,,60,48,47,,100,,1,,0,,48,,1
English,125D,20th Century Novel,Primary,Lecture,,1,1,,56,,,82,56,55,,100,,2,,0,,56,,1
English,127,Modern Poetry,Primary,Lecture,,1,1,,50,,,44,50,48,,100,,0,,0,,50,,1
English,127,Modern Poetry,Primary,Lecture,1,,,56,,56,71,,,,100,,0,,0,,56,,1,
English,130A,Am Lit: Before 1800,Primary,Lecture,1,,,45,,45,53,,,,100,,1,,1,,45,,1,
English,130B,Amer Lit: 1800-1865,Primary,Lecture,,1,1,,60,,,38,60,59,,100,,0,,0,,60,,1
