Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,27868,David Landreth; Katherine Ding,,English,R1A,007,A,Letter Grade,A+,Reading And Comp
1,1,,,27886,Charity Ketz; David Landreth,,English,R1B,005,A,Letter Grade,A+,Reading And Comp
1,1,,,27910,David Landreth; Sharon Hsu,,English,R1B,013,A,Letter Grade,A+,Reading And Comp
1,2,,,28000,Elizabeth Abel,,English,45C,001,A,Letter Grade,A+,Lit In English
1,2,,,28117,Charles Altieri,,English,117S,001,A,Letter Grade,A+,Shakespeare
1,1,,,28120,Oliver Arnold,,English,117S,002,A,Letter Grade,A+,Shakespeare
1,2,,,28138,Anne-Lise Francois,,English,121,001,A,Letter Grade,A+,Romantic Period
1,1,,,28150,Greil Marcus; Kathleen Moran,,English,C136,002,A,Letter Grade,A+,American Studies
1,2,,,28171,Kirsten Tranter,,English,143A,002,A,Letter Grade,A+,Short Fiction
1,2,,,28174,John Shoptaw,,English,143B,001,A,Letter Grade,A+,Verse
1,3,,,28189,Joseph Lavery,,English,165,002,A,Letter Grade,A+,Special Topics
1,3,,,28195,Emily Thornbury,,English,166,001,A,Letter Grade,A+,Special Topics
1,1,,,28198,Eric Falci,,English,166,002,A,Letter Grade,A+,Special Topics
1,1,,,28213,Vikram Chandra,,English,180H,001,A,Letter Grade,A+,Short Story
1,4,,,28216,Robert Hass,,English,180L,001,A,Letter Grade,A+,Lyric Verse
1,1,,,28219,Zachary Gordon,,English,180N,001,A,Letter Grade,A+,The Novel
1,2,,,28222,Kathleen Donegan,,English,190,001,A,Letter Grade,A+,Research Seminar
1,1,,,28231,Charles Blanton,,English,190,004,A,Letter Grade,A+,Research Seminar
1,2,,,28234,Catherine Browning,,English,190,005,A,Letter Grade,A+,Research Seminar
1,2,,,28243,Mitchell Breitwieser,,English,190,008,A,Letter Grade,A+,Research Seminar
1,2,,,28246,Janet Sorensen,,English,190,009,A,Letter Grade,A+,Research Seminar
1,1,,,28249,Charles Altieri,,English,190,011,A,Letter Grade,A+,Research Seminar
1,2,,,28252,Mitchell Breitwieser,,English,190,012,A,Letter Grade,A+,Research Seminar
1,1,,,28255,Mark Goble,,English,190,013,A,Letter Grade,A+,Research Seminar
1,1,,,28261,D Miller,,English,190,015,A,Letter Grade,A+,Research Seminar
1,3,,,28273,Carla Serpell,,English,H195B,001,A,Letter Grade,A+,Honors Course
1,1,,,28276,Celeste Langan,,English,H195B,002,A,Letter Grade,A+,Honors Course
1,2,,,28441,Carla Serpell,,English,203,002,A,Letter Grade,A+,Graduate Readings
1,3,,,28450,Katherine O'Brien O'Keeffe,,English,205B,001,A,Letter Grade,A+,Old English
1,4,,,28459,Stephen Best,,English,246J,001,A,Letter Grade,A+,Grad Pro-Seminars
1,2,,,28525,Abdul Janmohamed,,English,298,019,A,Letter Grade,A+,Special Studies
2,2,,,27853,David Landreth; Tyleen Kelly,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,2,,,27856,David Landreth; Rachel Trocchio,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,5,,,27859,David Landreth; Jacob Hobson,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,5,,,27862,David Landreth; Maude Emerson,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,2,,,27865,David Landreth; Edward Alexander,,English,R1A,006,A,Letter Grade,A,Reading And Comp
2,4,,,27868,David Landreth; Katherine Ding,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,2,,,27871,David Landreth; Ryan Mcwilliams,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,2,,,27874,Alexandra Dumont; David Landreth,,English,R1B,001,A,Letter Grade,A,Reading And Comp
2,3,,,27877,Adam Ahmed; David Landreth,,English,R1B,002,A,Letter Grade,A,Reading And Comp
2,4,,,27880,David Landreth; Javier Huerta,,English,R1B,003,A,Letter Grade,A,Reading And Comp
2,1,,,27883,David Landreth; Jessica Ling,,English,R1B,004,A,Letter Grade,A,Reading And Comp
2,14,,,27886,Charity Ketz; David Landreth,,English,R1B,005,A,Letter Grade,A,Reading And Comp
2,5,,,27889,David Landreth; Lynn Huang,,English,R1B,006,A,Letter Grade,A,Reading And Comp
2,5,,,27892,David Landreth; Stephanie Moore,,English,R1B,007,A,Letter Grade,A,Reading And Comp
2,1,,,27895,David Landreth; Juliana Chow,,English,R1B,008,A,Letter Grade,A,Reading And Comp
2,2,,,27898,Benjamin Cannon; David Landreth,,English,R1B,009,A,Letter Grade,A,Reading And Comp
2,1,,,27901,David Landreth; Richard Lee,,English,R1B,010,A,Letter Grade,A,Reading And Comp
2,2,,,27904,Adrian Acu; David Landreth,,English,R1B,011,A,Letter Grade,A,Reading And Comp
2,3,,,27907,David Landreth; Erin Greer,,English,R1B,012,A,Letter Grade,A,Reading And Comp
2,2,,,27910,David Landreth; Sharon Hsu,,English,R1B,013,A,Letter Grade,A,Reading And Comp
2,6,,,27913,David Landreth; Irene Yoon,,English,R1B,014,A,Letter Grade,A,Reading And Comp
2,4,,,27919,David Landreth; Kathryn Fleishman,,English,R1B,016,A,Letter Grade,A,Reading And Comp
2,5,,,27922,David Landreth; Matthew Langione,,English,R1B,017,A,Letter Grade,A,Reading And Comp
2,4,,,27925,David Landreth; Jennifer Lorden,,English,R1B,018,A,Letter Grade,A,Reading And Comp
2,4,,,27928,Claire Marie Stancek; David Landreth,,English,R1B,019,A,Letter Grade,A,Reading And Comp
2,2,,,27931,David Landreth; David Vandeloo,,English,R1B,020,A,Letter Grade,A,Reading And Comp
2,5,,,27934,David Landreth; Jesse Cordes Selbin,,English,R1B,021,A,Letter Grade,A,Reading And Comp
2,10,,,27940,Eric Falci; Serena Le,,English,20,001,A,Letter Grade,A,Modern Brit/Am Lit
2,7,,,27955,Genaro Padilla,,English,37,001,A,Letter Grade,A,Chicana/O Lit & Cul
2,4,,,27958,Jane Gregory; Lyn Hejinian,,English,43B,001,A,Letter Grade,A,Intro/Writing Verse
2,13,,,27961,Oliver Arnold,,English,45A,001,A,Letter Grade,A,Lit In English
2,15,,,27976,Steven Goldsmith,,English,45B,001,A,Letter Grade,A,Lit In English
2,6,,,27988,Ian Duncan,,English,45B,002,A,Letter Grade,A,Lit In English
2,23,,,28000,Elizabeth Abel,,English,45C,001,A,Letter Grade,A,Lit In English
2,2,,,28012,Catherine Flynn,,English,45C,002,A,Letter Grade,A,Lit In English
2,9,,,28105,Kristin Hanson,,English,102,001,A,Letter Grade,A,Topics In Eng Lang
2,19,,,28108,Emily Thornbury,,English,110,001,A,Letter Grade,A,Medieval Literature
2,6,,,28117,Charles Altieri,,English,117S,001,A,Letter Grade,A,Shakespeare
2,24,,,28120,Oliver Arnold,,English,117S,002,A,Letter Grade,A,Shakespeare
2,1,,,28132,James Turner,,English,118,001,A,Letter Grade,A,Milton
2,16,,,28135,Janet Sorensen,,English,120,001,A,Letter Grade,A,Lit Later 18th Cent
2,8,,,28138,Anne-Lise Francois,,English,121,001,A,Letter Grade,A,Romantic Period
2,4,,,28141,Charles Blanton,,English,127,001,A,Letter Grade,A,Modern Poetry
2,16,,,28144,Elisa Tamarkin,,English,130A,001,A,Letter Grade,A,Am Lit: Before 1800
2,14,,,28147,Mark Goble,,English,130D,001,A,Letter Grade,A,Am Lit: 1900-45
2,8,,,28150,Greil Marcus; Kathleen Moran,,English,C136,002,A,Letter Grade,A,American Studies
2,13,,,28165,Melanie Chandra,,English,141,001,A,Letter Grade,A,Modes Of Writing
2,13,,,28168,Georgina Kleege,,English,143A,001,A,Letter Grade,A,Short Fiction
2,10,,,28171,Kirsten Tranter,,English,143A,002,A,Letter Grade,A,Short Fiction
2,10,,,28174,John Shoptaw,,English,143B,001,A,Letter Grade,A,Verse
2,6,,,28177,Cecil Giscombe,,English,143B,002,A,Letter Grade,A,Verse
2,6,,,28180,Rebecca Solnit,,English,143N,001,A,Letter Grade,A,Prose Nonfiction
2,3,,,28183,Celeste Langan,,English,161,001,A,Letter Grade,A,Int To Lit Theory
2,1,,,28186,David Marno,,English,165,001,A,Letter Grade,A,Special Topics
2,11,,,28189,Joseph Lavery,,English,165,002,A,Letter Grade,A,Special Topics
2,7,,,28192,John Campion,,English,165,003,A,Letter Grade,A,Special Topics
2,5,,,28195,Emily Thornbury,,English,166,001,A,Letter Grade,A,Special Topics
2,16,,,28198,Eric Falci,,English,166,002,A,Letter Grade,A,Special Topics
2,6,,,28201,Steven Lee,,English,166AC,001,A,Letter Grade,A,Spe Top Am Cultures
2,2,,,28204,Elizabeth Abel,,English,171,001,A,Letter Grade,A,Lit And Sexual Iden
