Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,27859,David Landreth; Jesse Cordes Selbin,,English,R1A,003,A,Letter Grade,A+,Reading And Comp
1,5,,,27895,Andrea Seeger; David Landreth,,English,R1A,015,A,Letter Grade,A+,Reading And Comp
1,1,,,27910,David Landreth; Jacob Hobson,,English,R1B,005,A,Letter Grade,A+,Reading And Comp
1,2,,,27919,David Landreth; Khalil Sullivan,,English,R1B,008,A,Letter Grade,A+,Reading And Comp
1,2,,,27997,Eric Falci,,English,45C,001,A,Letter Grade,A+,Lit In English
1,1,,,28126,Emily Thornbury,,English,105,001,A,Letter Grade,A+,Anglo-Saxon England
1,1,,,28132,Alan Nelson,,English,117B,001,A,Letter Grade,A+,Shakespeare
1,7,,,28138,Joseph Lavery,,English,122,001,A,Letter Grade,A+,Victorian Period
1,4,,,28147,Mitchell Breitwieser,,English,130B,001,A,Letter Grade,A+,Amer Lit: 1800-1865
1,1,,,28153,Zachary Gordon,,English,132,001,A,Letter Grade,A+,American Novel
1,1,,,28174,John Shoptaw,,English,143B,001,A,Letter Grade,A+,Verse
1,2,,,28189,John Campion,,English,165,001,A,Letter Grade,A+,Special Topics
1,2,,,28192,Kristin Hanson,,English,165,002,A,Letter Grade,A+,Special Topics
1,4,,,28195,Philip Gotanda,,English,166,002,A,Letter Grade,A+,Special Topics
1,2,,,28204,Kathleen Donegan,,English,166AC,001,A,Letter Grade,A+,Spe Top Am Cultures
1,1,,,28210,Genaro Padilla,,English,180A,001,A,Letter Grade,A+,Autobiography
1,1,,,28216,Carla Serpell,,English,180N,001,A,Letter Grade,A+,The Novel
1,1,,,28246,John Shoptaw,,English,190,007,A,Letter Grade,A+,Research Seminar
1,4,,,28261,Catherine Browning,,English,190,015,A,Letter Grade,A+,Research Seminar
1,1,,,28456,Maura Nolan,,English,250,002,A,Letter Grade,A+,Research Seminars
1,1,,,28480,Mitchell Breitwieser,,English,298,007,A,Letter Grade,A+,Special Studies
1,1,,,28483,Kathleen Donegan,,English,298,008,A,Letter Grade,A+,Special Studies
1,1,,,28573,James Turner,,English,298,038,A,Letter Grade,A+,Special Studies
2,1,,,27853,David Landreth; Kathryn Fleishman,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,5,,,27859,David Landreth; Jesse Cordes Selbin,,English,R1A,003,A,Letter Grade,A,Reading And Comp
2,5,,,27862,Claire Marie Stancek; David Landreth,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,5,,,27865,David Landreth; Sharon Hsu,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,5,,,27868,David Landreth; Jennifer Lorden,,English,R1A,006,A,Letter Grade,A,Reading And Comp
2,4,,,27874,David Landreth; Matthew Langione,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,2,,,27880,David Landreth; Erin Greer,,English,R1A,010,A,Letter Grade,A,Reading And Comp
2,2,,,27886,Anna Abramson; David Landreth,,English,R1A,012,A,Letter Grade,A,Reading And Comp
2,4,,,27889,David Landreth; Edward Alexander,,English,R1A,013,A,Letter Grade,A,Reading And Comp
2,2,,,27892,David Landreth; Jessica Ling,,English,R1A,014,A,Letter Grade,A,Reading And Comp
2,11,,,27895,Andrea Seeger; David Landreth,,English,R1A,015,A,Letter Grade,A,Reading And Comp
2,1,,,27898,David Landreth; Jane Gregory,,English,R1B,001,A,Letter Grade,A,Reading And Comp
2,3,,,27901,David Landreth; Katherine Ding,,English,R1B,002,A,Letter Grade,A,Reading And Comp
2,4,,,27904,David Landreth; Rachel Trocchio,,English,R1B,003,A,Letter Grade,A,Reading And Comp
2,3,,,27910,David Landreth; Jacob Hobson,,English,R1B,005,A,Letter Grade,A,Reading And Comp
2,6,,,27916,David Landreth; Rachel Beck,,English,R1B,007,A,Letter Grade,A,Reading And Comp
2,7,,,27919,David Landreth; Khalil Sullivan,,English,R1B,008,A,Letter Grade,A,Reading And Comp
2,2,,,27922,David Landreth; Megan O'Connor,,English,R1B,009,A,Letter Grade,A,Reading And Comp
2,4,,,27925,Adam Ahmed; David Landreth,,English,R1B,010,A,Letter Grade,A,Reading And Comp
2,2,,,27928,David Landreth; Paul Nadal,,English,R1B,011,A,Letter Grade,A,Reading And Comp
2,3,,,27931,David Landreth; Mark Bauer,,English,R1B,012,A,Letter Grade,A,Reading And Comp
2,3,,,27937,David Landreth; Joshua Weiner,,English,R1B,014,A,Letter Grade,A,Reading And Comp
2,6,,,27949,Nadia Ellis Russell,,English,31AC,001,A,Letter Grade,A,Lit Amer Cultures
2,3,,,27952,James Turner,,English,45A,001,A,Letter Grade,A,Lit In English
2,10,,,27964,Kevis Bea Goodman,,English,45A,002,A,Letter Grade,A,Lit In English
2,20,,,27973,Janet Sorensen,,English,45B,001,A,Letter Grade,A,Lit In English
2,12,,,27985,Charles Blanton,,English,45B,002,A,Letter Grade,A,Lit In English
2,33,,,27997,Eric Falci,,English,45C,001,A,Letter Grade,A,Lit In English
2,15,,,28009,Mark Goble,,English,45C,002,A,Letter Grade,A,Lit In English
2,7,,,28021,Garrison Sposito; Robert Hass,,English,C77,001,A,Letter Grade,A,Int Environ Studies
2,3,,,28126,Emily Thornbury,,English,105,001,A,Letter Grade,A,Anglo-Saxon England
2,6,,,28132,Alan Nelson,,English,117B,001,A,Letter Grade,A,Shakespeare
2,5,,,28135,David Marno,,English,117S,001,A,Letter Grade,A,Shakespeare
2,38,,,28137,John Savarese,,English,121,001,A,Letter Grade,A,Romantic Period
2,13,,,28138,Joseph Lavery,,English,122,001,A,Letter Grade,A,Victorian Period
2,2,,,28141,Ronald Loewinsohn,,English,125D,001,A,Letter Grade,A,20th Century Novel
2,2,,,28144,Zachary Gordon,,English,125E,001,A,Letter Grade,A,Contemporary Novel
2,5,,,28147,Mitchell Breitwieser,,English,130B,001,A,Letter Grade,A,Amer Lit: 1800-1865
2,21,,,28153,Zachary Gordon,,English,132,001,A,Letter Grade,A,American Novel
2,12,,,28165,R Gonzalez,,English,137T,001,A,Letter Grade,A,Topics Chic Lit/Cul
2,13,,,28168,Cecil Giscombe,,English,141,001,A,Letter Grade,A,Modes Of Writing
2,14,,,28171,Melanie Chandra,,English,143A,001,A,Letter Grade,A,Short Fiction
2,10,,,28174,John Shoptaw,,English,143B,001,A,Letter Grade,A,Verse
2,8,,,28180,Cecil Giscombe,,English,143N,001,A,Letter Grade,A,Prose Nonfiction
2,10,,,28183,Robert Hass,,English,143T,001,A,Letter Grade,A,Poetry Trans Wkshp
2,6,,,28186,Kathleen Donegan,,English,152,001,A,Letter Grade,A,Women Writers
2,4,,,28189,John Campion,,English,165,001,A,Letter Grade,A,Special Topics
2,2,,,28192,Kristin Hanson,,English,165,002,A,Letter Grade,A,Special Topics
2,14,,,28194,John Savarese,,English,166,001,A,Letter Grade,A,Special Topics
2,17,,,28195,Philip Gotanda,,English,166,002,A,Letter Grade,A,Special Topics
2,15,,,28204,Kathleen Donegan,,English,166AC,001,A,Letter Grade,A,Spe Top Am Cultures
2,10,,,28207,Georgina Kleege,,English,175,001,A,Letter Grade,A,Lit And Disability
2,8,,,28210,Genaro Padilla,,English,180A,001,A,Letter Grade,A,Autobiography
2,1,,,28213,Jennifer Miller,,English,180L,001,A,Letter Grade,A,Lyric Verse
2,23,,,28216,Carla Serpell,,English,180N,001,A,Letter Grade,A,The Novel
2,5,,,28234,Marisa Knox,,English,190,001,A,Letter Grade,A,Research Seminar
2,6,,,28243,Nadia Ellis Russell,,English,190,006,A,Letter Grade,A,Research Seminar
2,3,,,28246,John Shoptaw,,English,190,007,A,Letter Grade,A,Research Seminar
2,4,,,28249,Stephen Best,,English,190,008,A,Letter Grade,A,Research Seminar
2,7,,,28252,Donald Mcquade,,English,190,009,A,Letter Grade,A,Research Seminar
2,2,,,28255,Jasper Bernes,,English,190,011,A,Letter Grade,A,Research Seminar
2,4,,,28258,David Marno,,English,190,012,A,Letter Grade,A,Research Seminar
2,9,,,28261,Catherine Browning,,English,190,015,A,Letter Grade,A,Research Seminar
2,10,,,28264,Julia Bader,,English,190,016,A,Letter Grade,A,Research Seminar
2,3,,,28270,George Starr,,English,190,017,A,Letter Grade,A,Research Seminar
2,13,,,28438,Charles Blanton,,English,200,001,A,Letter Grade,A,Problems Stdy Lit
2,7,,,28441,Katherine Snyder,,English,203,001,A,Letter Grade,A,Graduate Readings
2,11,,,28444,Mark Goble,,English,203,002,A,Letter Grade,A,Graduate Readings
2,2,,,28446,Kristin Hanson,,English,203,003,A,Letter Grade,A,Graduate Readings
2,2,,,28447,Emily Thornbury,,English,205A,001,A,Letter Grade,A,Old English
2,7,,,28450,Kevis Bea Goodman,,English,246F,001,A,Letter Grade,A,Grad Pro-Seminars
2,4,,,28453,Colleen Lye,,English,250,001,A,Letter Grade,A,Research Seminars
2,11,,,28456,Maura Nolan,,English,250,002,A,Letter Grade,A,Research Seminars
2,13,,,28459,Ian Duncan,,English,250,003,A,Letter Grade,A,Research Seminars
2,3,,,28462,Elizabeth Abel,,English,298,001,A,Letter Grade,A,Special Studies
2,2,,,28465,Charles Altieri,,English,298,002,A,Letter Grade,A,Special Studies
2,1,,,28468,Oliver Arnold,,English,298,003,A,Letter Grade,A,Special Studies
2,1,,,28471,Ann Banfield,,English,298,004,A,Letter Grade,A,Special Studies
2,6,,,28477,Charles Blanton,,English,298,006,A,Letter Grade,A,Special Studies
2,1,,,28486,Ian Duncan,,English,298,009,A,Letter Grade,A,Special Studies
2,1,,,28489,Eric Falci,,English,298,010,A,Letter Grade,A,Special Studies
2,1,,,28495,Steven Goldsmith,,English,298,012,A,Letter Grade,A,Special Studies
2,2,,,28501,Kevis Bea Goodman,,English,298,014,A,Letter Grade,A,Special Studies
2,2,,,28504,Dorothy Hale,,English,298,015,A,Letter Grade,A,Special Studies
