Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,28213,Mitchell Breitwieser,,English,27,003,A,Letter Grade,A+,Intro To Fiction
1,2,,,28216,Nadia Ellis,,English,31AC,001,A,Letter Grade,A+,Lit Amer Cultures
1,1,,,28219,Oliver Arnold,,English,45A,001,A,Letter Grade,A+,Lit In English
1,8,,,28273,Dora Zhang,,English,45C,002,A,Letter Grade,A+,Lit In English
1,1,,,28285,Garrison Sposito; Robert Hass,,English,C77,001,A,Letter Grade,A+,Int Environ Studies
1,3,,,28387,Emily Thornbury,,English,104,001,A,Letter Grade,A+,Intro To Old Engl
1,1,,,28441,Samuel Otter,,English,130B,001,A,Letter Grade,A+,Amer Lit: 1800-1865
1,10,,,28456,Geoffrey O'Brien,,English,131,001,A,Letter Grade,A+,American Poetry
1,1,,,28462,Richard Hutson,,English,C136,001,A,Letter Grade,A+,American Studies
1,2,,,28480,John Shoptaw,,English,143B,001,A,Letter Grade,A+,Verse
1,1,,,28510,George Starr,,English,165,007,A,Letter Grade,A+,Special Topics
1,2,,,28516,Emily Thornbury,,English,166,001,A,Letter Grade,A+,Special Topics
1,1,,,28540,Dorothy Hale,,English,190,003,A,Letter Grade,A+,Research Seminar
1,2,,,28552,Carla Serpell,,English,190,007,A,Letter Grade,A+,Research Seminar
1,2,,,28555,Mitchell Breitwieser,,English,190,008,A,Letter Grade,A+,Research Seminar
1,1,,,28567,Cecil Giscombe,,English,190,013,A,Letter Grade,A+,Research Seminar
1,1,,,28756,Joseph Lavery,,English,203,003,A,Letter Grade,A+,Graduate Readings
1,1,,,28978,Irene Yoon; Katherine Snyder,,English,R1B,013,A,Letter Grade,A+,Reading And Comp
2,5,,,28153,Katherine Snyder; Mary Wilson,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,2,,,28156,Katherine Snyder; Rosalind Diaz,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,4,,,28159,Daniel Benjamin; Katherine Snyder,,English,R1A,003,A,Letter Grade,A,Reading And Comp
2,1,,,28162,Katherine Snyder; Rachel Lewis,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,1,,,28165,Joseph Mansky; Katherine Snyder,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,2,,,28168,Joseph Albernaz; Katherine Snyder,,English,R1A,006,A,Letter Grade,A,Reading And Comp
2,6,,,28171,Ismail Muhammad; Katherine Snyder,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,5,,,28174,Katherine Snyder; Rebecca Clark,,English,R1A,008,A,Letter Grade,A,Reading And Comp
