Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,R1A,Reading And Comp,Primary,Lecture,,9,9,,192,,,1081,157,157,,81.7708333333333,,0,,0,,17.4444444444444,,8
English,R1A,Reading And Comp,Primary,Lecture,8,,,160,,143,264,,,,89.375,,0,,0,,17.875,,8,
English,R1B,Reading And Comp,Primary,Lecture,,13,13,,224,,,762,224,221,,100,,0,,0,,17.2307692307692,,13
English,R1B,Reading And Comp,Primary,Lecture,11,,,256,,188,220,,,,73.4375,,1,,0,,17.0909090909091,,11,
English,24,Freshman Seminars,Primary,Seminar,,1,1,,13,,,54,13,13,,100,,0,,0,,13,,1
English,24,Freshman Seminars,Primary,Seminar,2,,,37,,22,25,,,,59.4594594594595,,0,,0,,11,,2,
English,26,Intro To Poetry,Primary,Lecture,,1,1,,20,,,32,20,20,,100,,0,,0,,20,,1
English,27,Intro To Fiction,Primary,Lecture,,1,1,,27,,,65,27,25,,100,,0,,0,,27,,1
English,27,Intro To Fiction,Primary,Lecture,0,,,0,,0,,,,,,,0,,0,,,,0,
English,31AC,Lit Amer Cultures,Primary,Lecture,,1,1,,48,,,69,48,48,,100,,1,,1,,48,,1
English,31AC,Lit Amer Cultures,Primary,Lecture,1,,,48,,48,56,,,,100,,2,,0,,48,,1,
English,45A,Lit In English,Primary,Lecture,,2,2,,106,,,61,105,103,,99.0566037735849,,0,,0,,52.5,,1
English,45A,Lit In English,Primary,Lecture,2,,,117,,115,61,,,,98.2905982905983,,2,,0,,57.5,,1,
English,45B,Lit In English,Primary,Lecture,,2,2,,164,,,52,164,162,,100,,1,,1,,82,,2
English,45B,Lit In English,Primary,Lecture,2,,,161,,160,82,,,,99.3788819875776,,1,,0,,80,,1,
English,45C,Lit In English,Primary,Lecture,,2,2,,160,,,64,160,158,,100,,1,,2,,80,,2
English,45C,Lit In English,Primary,Lecture,2,,,163,,158,109,,,,96.9325153374233,,0,,0,,79,,1,
English,C77,Int Environ Studies,Primary,Lecture,,1,1,,32,,,69,32,32,,100,,1,,1,,32,,1
English,C77,Int Environ Studies,Primary,Lecture,1,,,34,,34,119,,,,100,,0,,0,,34,,1,
English,84,Sophomore Seminar,Primary,Seminar,,1,1,,17,,,47,17,17,,100,,0,,0,,17,,1
English,84,Sophomore Seminar,Primary,Seminar,1,,,14,,14,25,,,,100,,0,,0,,14,,1,
English,98,Directed Group Stdy,Primary,Directed Group Study,,9,9,,171,,,6,85,84,,49.7076023391813,,0,,208,,9.44444444444445,,3
English,98BC,Directed Group Stud,Primary,Directed Group Study,,3,3,,56,,,65,55,55,,98.2142857142857,,0,,5,,18.3333333333333,,2
