Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,3,,,27953,Khalil Sullivan; Mark Goble,,English,R1A,001,A,Letter Grade,A+,Reading And Comp
1,1,,,27956,Benjamin Cullen; Mark Goble,,English,R1A,002,A,Letter Grade,A+,Reading And Comp
1,1,,,27995,Brian Gillis; Mark Goble,,English,R1B,001,A,Letter Grade,A+,Reading And Comp
1,1,,,28013,Andrea Seeger; Mark Goble,,English,R1B,007,A,Letter Grade,A+,Reading And Comp
1,2,,,28040,Mark Goble; Ruth Baldwin,,English,R1B,016,A,Letter Grade,A+,Reading And Comp
1,2,,,28043,David Menilla; Mark Goble,,English,R1B,017,A,Letter Grade,A+,Reading And Comp
1,1,,,28082,Kenneth Speirs,,English,R1B,030,A,Letter Grade,A+,Reading And Comp
1,1,,,28091,Oliver Arnold,,English,45A,001,A,Letter Grade,A+,Lit In English
1,1,,,28103,Emily Thornbury,,English,45A,002,A,Letter Grade,A+,Lit In English
1,1,,,28229,Kristin Hanson,,English,101,001,A,Letter Grade,A+,History Eng Lang
1,1,,,28250,Janet Sorensen,,English,125A,001,A,Letter Grade,A+,English Novel
1,1,,,28265,Abdul Janmohamed,,English,133T,001,A,Letter Grade,A+,Topics Af Am
1,4,,,28268,Eric Falci,,English,134,001,A,Letter Grade,A+,Contemp Lit
1,2,,,28283,Bharati Blaise,,English,143A,002,A,Letter Grade,A+,Short Fiction
1,2,,,28289,Daniel Alarcon,,English,143C,001,A,Letter Grade,A+,Long Narrative
1,1,,,28303,Dorothy Hale,,English,161,001,A,Letter Grade,A+,Int To Lit Theory
1,1,,,28304,John Campion,,English,165,001,A,Letter Grade,A+,Special Topics
1,3,,,28313,Mark Danner,,English,165,004,A,Letter Grade,A+,Special Topics
1,3,,,28319,Bharati Blaise,,English,166,002,A,Letter Grade,A+,Special Topics
1,2,,,28340,Donald Mcquade,,English,176,001,A,Letter Grade,A+,Lit & Pop Culture
1,4,,,28352,Eric Falci,,English,190,002,A,Letter Grade,A+,Research Seminar
1,2,,,28364,Mitchell Breitwieser,,English,190,006,A,Letter Grade,A+,Research Seminar
1,4,,,28376,Robert Hirst,,English,190,010,A,Letter Grade,A+,Research Seminar
1,1,,,28379,Jeffrey Knapp,,English,190,011,A,Letter Grade,A+,Research Seminar
1,1,,,28400,D Miller,,English,H195B,001,A,Letter Grade,A+,Honors Course
1,1,,,28556,Abdul Janmohamed,,English,203,003,A,Letter Grade,A+,Graduate Readings
1,5,,,28562,Steven Justice,,English,211,001,A,Letter Grade,A+,Chaucer
1,1,,,28568,Thomas Farber,,English,243N,001,A,Letter Grade,A+,Pr Nonfic Wr Wkshp
1,1,,,28574,R Gonzalez,,English,250,001,A,Letter Grade,A+,Research Seminars
1,1,,,28595,Stephen Best,,English,298,005,A,Letter Grade,A+,Special Studies
1,1,,,28601,Mitchell Breitwieser,,English,298,007,A,Letter Grade,A+,Special Studies
1,1,,,28613,Mary Gallagher,,English,298,011,A,Letter Grade,A+,Special Studies
1,1,,,28619,R Gonzalez,,English,298,013,A,Letter Grade,A+,Special Studies
1,1,,,28625,Dorothy Hale,,English,298,015,A,Letter Grade,A+,Special Studies
1,4,,,28637,Abdul Janmohamed,,English,298,019,A,Letter Grade,A+,Special Studies
1,1,,,28706,Janet Sorensen,,English,298,042,A,Letter Grade,A+,Special Studies
2,3,,,27953,Khalil Sullivan; Mark Goble,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,4,,,27956,Benjamin Cullen; Mark Goble,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,4,,,27959,Jonathan Larner-Lewis; Mark Goble,,English,R1A,003,A,Letter Grade,A,Reading And Comp
2,12,,,27962,Charity Ketz; Mark Goble,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,5,,,27965,Mark Goble; Stephanie Moore,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,2,,,27968,Joshua Weiner; Mark Goble,,English,R1A,006,A,Letter Grade,A,Reading And Comp
