Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,R1A,Reading And Comp,Primary,Lecture,,21,21,,350,,,,348,348,,99.4285714285714,,0,,737,,16.5714285714286,,19
English,R1A,Reading And Comp,Primary,Lecture,12,,,203,,203,1088,,,,100,,0,,0,,16.9166666666667,,12,
English,R1B,Reading And Comp,Primary,Lecture,,13,13,,222,,,,221,222,,99.5495495495496,,0,,585,,17,,12
English,R1B,Reading And Comp,Primary,Lecture,11,,,203,,185,686,,,,91.1330049261084,,1,,5,,16.8181818181818,,10,
English,24,Freshman Seminars,Primary,Seminar,,3,3,,41,,,,41,41,,100,,3,,110,,13.6666666666667,,3
English,24,Freshman Seminars,Primary,Seminar,3,,,37,,37,153,,,,100,,0,,0,,12.3333333333333,,3,
English,31AC,Lit Amer Cultures,Primary,Lecture,1,,,59,,59,39,,,,100,,0,,0,,59,,1,
English,43A,Intro/Writ Fiction,Primary,Lecture,,1,1,,28,,,,12,13,,42.8571428571429,,0,,34,,12,,0
English,45A,Lit In English,Primary,Lecture,,2,2,,145,,,,140,143,,96.551724137931,,0,,91,,70,,0
English,45A,Lit In English,Primary,Lecture,2,,,128,,128,60,,,,100,,0,,0,,64,,2,
English,45B,Lit In English,Primary,Lecture,,2,2,,202,,,,194,198,,96.039603960396,,0,,64,,97,,0
English,45B,Lit In English,Primary,Lecture,2,,,155,,155,42,,,,100,,0,,0,,77.5,,2,
English,45C,Lit In English,Primary,Lecture,,2,2,,162,,,,156,160,,96.2962962962963,,0,,42,,78,,0
English,45C,Lit In English,Primary,Lecture,2,,,179,,179,71,,,,100,,0,,0,,89.5,,2,
English,C77,Int Environ Studies,Primary,Lecture,,1,1,,30,,,,27,27,,90,,0,,34,,27,,0
English,C77,Int Environ Studies,Primary,Lecture,1,,,29,,27,56,,,,93.1034482758621,,0,,0,,27,,0,
English,84,Sophomore Seminar,Primary,Seminar,,2,2,,21,,,,21,22,,100,,0,,74,,10.5,,2
English,84,Sophomore Seminar,Primary,Seminar,1,,,20,,20,42,,,,100,,0,,0,,20,,1,
English,98,Directed Group Stdy,Primary,Directed Group Study,,19,18,,323,,,,212,210,,65.6346749226006,,0,,2,,11.1578947368421,,3
English,98,Directed Group Stdy,Primary,Directed Group Study,14,,,361,,187,1,,,,51.8005540166205,,0,,0,,13.3571428571429,,1,
English,102,Topics In Eng Lang,Primary,Lecture,0,,,24,,0,14,,,,0,,0,,0,,,,0,
English,104,Intro To Old Engl,Primary,Lecture,,1,1,,36,,,,35,35,,97.2222222222222,,0,,56,,35,,0
English,105,Anglo-Saxon England,Primary,Lecture,,,0,,,,,,,0,,,,,,,,,,
