Semester,Class,Class Number,Section Number,Title,Author(s),Gender,Number Students
Spring 2012,Reading & Composition:  American Exposures,English R1A,11,Leaves of Grass,['Walt Whitman'],male,18
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,13,The Blithedale Romance,['Nathaniel Hawthorne'],male,14
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,13,Frankenstein,['Mary Shelley'],female,14
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,13,Walden,['Henry David Thoreau'],male,14
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,Riding the Trail of Tears,['Blake M. Hausman'],unknown,13
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,The Absolutely True Diary of a Part-Time Indian,['Sherman Alexie'],male,13
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,The Columbia Guide to American Indian Literatures of the United States Since 1945,['Eric Cheyfitz'],male,13
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,The Plague of the Doves,['Louise Erdrich'],female,13
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,The Ledgerbook of Tomas Blue Eagle,"['Jean Afton', 'Richard N. Ellis']",Multiple Authors,13
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,The Cambridge Companion to Native American Literature,"['Joy Porter', 'Kenneth M. Roemer']",Multiple Authors,13
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,Reckonings: Contemporary Short Fiction by Native American Women,"['Hertha D. Sweet Wong', 'Lauren Stuart Muller', 'Jana Sequoya Magdaleno']",Multiple Authors,13
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,The Souls of Black Folk,['W. E. B. Du Bois'],male,17
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,The Woman Warrior,['Maxine Hong Kingston'],female,17
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,Caste and Outcast,['Dhan Gopal Mukerji'],male,17
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,Hunger of Memory,['Richard Rodriguez'],male,17
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,Regeneration,['Pat Barker'],female,17
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,Parade's End,['Ford Madox Ford'],male,17
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,All Quiet on the Western Front,"['Center for Learning Network Staff', 'Erich-Maria Remarque']",Multiple Authors,17
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,Mrs. Dalloway,['Virginia Woolf'],male,17
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,The Moonstone,Could not find author,,17
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,Sketches by Boz,['Charles Dickens'],male,17
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,The Lost World,['Arthur Conan Doyle'],male,17
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,The Library Window,['Mrs. Oliphant (Margaret)'],female,17
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,The Strange Case of Dr Jekyll and Mr Hyde,['Robert Louis Stevenson'],male,17
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,Dracula,['Bram Stoker'],female,17
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,Bastard Out of Carolina,['Dorothy Allison'],female,17
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,Go Tell It On the Mountain,['James Baldwin'],male,17
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,Light in August,['William Faulkner'],male,17
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,Beloved,['Toni Morrison'],female,17
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,Robinson Crusoe,['Daniel Defoe'],male,16
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,Utopia,['Thomas More'],male,16
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,The Tempest,['William Shakespeare'],male,16
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,The Writings of Jonathan Swift,['Jonathan Swift'],male,16
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,The Island of Dr. Moreau,['Herbert George Wells'],male,16
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,Sherlock Holmes: Selected Stories,['Arthur Conan Doyle'],male,17
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Billy Budd, Sailor and Selected Tales",['Herman Melville'],male,17
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,Selected Tales,['Edgar Allan Poe'],male,17
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,Frankenstein,['Mary Shelley'],female,17
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,Strange Case of Dr. Jekyll and Mr. Hyde,['Robert Louis Stevenson'],male,17
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,Dracula,['Bram Stoker'],female,17
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,The Year of Magical Thinking,['Joan Didion'],female,17
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,Rules for Writers,"['Diana Hacker', 'Nancy Sommers']",Multiple Authors,17
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,The Long Goodbye,['Raymond Chandler'],male,17
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,A Widow's Story,['Joyce Carol Oates'],female,17
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,About Alice,['Calvin Trillin'],male,17
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,The Lifted Veil and Brother Jacob,['George Eliot'],female,17
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,The Return of the Native,['Thomas Hardy'],male,17
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,Goblin Market and Other Poems,['Christina Georgina Rossetti'],male,17
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,Dracula,['Bram Stoker'],female,17
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,The Picture of Dorian Gray,['Oscar Wilde'],male,17
Spring 2012,Reading & Composition:  Country and City,English R1B,14,Pilgrim at Tinker Creek,['Annie Dillard'],female,15
Spring 2012,Reading & Composition:  Country and City,English R1B,14,The Great Gatsby,['F. Scott Fitzgerald'],male,15
Spring 2012,Reading & Composition:  Country and City,English R1B,14,Tess of the D'Urbervilles,['Thomas Hardy'],male,15
Spring 2012,Reading & Composition:  Country and City,English R1B,14,The Crying of Lot 49,['Thomas Pynchon'],male,15
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,If on a winter's night a traveller,['Italo Calvino'],male,16
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,Writing Analytically,"['David Rosenwasser', 'Jill Stephen']",Multiple Authors,16
