Semester,Class,Class Number,Section Number,Title,Author(s),Gender,Number Students
Fall 2013,The 20th-Century Novel,English 125D,1,Naked Lunch,['William S. Burroughs'],male,97
Fall 2013,The 20th-Century Novel,English 125D,1,Invisible Man,['Ralph Ellison'],male,97
Fall 2013,The 20th-Century Novel,English 125D,1,Light in August,['William Faulkner'],male,97
Fall 2013,The 20th-Century Novel,English 125D,1,The Sun Also Rises,['Ernest Hemingway'],male,97
Fall 2013,The 20th-Century Novel,English 125D,1,The Woman Warrior,['Maxine Hong Kingston'],female,97
Fall 2013,The 20th-Century Novel,English 125D,1,Their Eyes Were Watching God,['Zora Neale Hurston'],female,97
Fall 2013,The 20th-Century Novel,English 125D,1,The Crying of Lot 49,['Thomas Pynchon'],male,97
Fall 2013,The Contemporary Novel,English 125E,1,The New York Trilogy,['Paul Auster'],male,55
Fall 2013,The Contemporary Novel,English 125E,1,If on a winter's night a traveler,['Italo Calvino'],male,55
Fall 2013,The Contemporary Novel,English 125E,1,In Cold Blood,['Truman Capote'],male,55
Fall 2013,The Contemporary Novel,English 125E,1,White Noise,['Don DeLillo'],male,55
Fall 2013,The Contemporary Novel,English 125E,1,Dispatches,['Michael Herr'],male,55
Fall 2013,The Contemporary Novel,English 125E,1,Jazz,['Francis Davis'],male,55
Fall 2013,The Contemporary Novel,English 125E,1,The Crying of Lot 49,['Thomas Pynchon'],male,55
Fall 2013,American Literature:  1800-1865,English 130B,1,Narrative of the LIfe of Frederick Douglass,['Frederick Douglass'],male,58
Fall 2013,American Literature:  1800-1865,English 130B,1,Nature and Selected Essays,['Ralph Waldo Emerson'],male,58
Fall 2013,American Literature:  1800-1865,English 130B,1,The Scarlet Letter,['Nathaniel Hawthorne'],male,58
Fall 2013,American Literature:  1800-1865,English 130B,1,Moby-Dick,['Herman Melville'],male,58
Fall 2013,American Literature:  1800-1865,English 130B,1,Walden and Civil Disobedience,['Henry David Thoreau'],male,58
Fall 2013,American Literature:  1800-1865,English 130B,1,Leaves of Grass: The First (1855) Edition,['Walt Whitman'],male,58
Fall 2013,American Novel,English 132,1,White Noise,['Don DeLillo'],male,128
Fall 2013,American Novel,English 132,1,"Absalom, Absalom!",['William Faulkner'],male,128
Fall 2013,American Novel,English 132,1,The Great Gatsby,['F. Scott Fitzgerald'],male,128
Fall 2013,American Novel,English 132,1,Their Eyes Were Watching God,['Zora Neale Hurston'],female,128
Fall 2013,American Novel,English 132,1,The Portrait of a Lady,['Henry James'],male,128
Fall 2013,American Novel,English 132,1,Jazz,['Francis Davis'],male,128
Fall 2013,American Novel,English 132,1,The Crying of Lot 49,['Thomas Pynchon'],male,128
Fall 2013,American Novel,English 132,1,Miss Lonelyhearts and the Day of the Locust,['Nathanael West'],male,128
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,Borderlands/la frontera,['Gloria Anzald_a'],female,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,A Glass of Water,['Jimmy Santiago Baca'],male,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,The Guardians,['John Christopher'],male,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,Face,"['Alan Cooper', 'Robert Reimann', 'David Cronin', 'Christopher Noessel']",Multiple Authors,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,The People of Paper,['Salvador Plascencia'],male,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,Diary of an Undocumented Immigrant,['Tianguis Prez'],unknown,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,Barefoot Heart: Stories of a Migrant Child,['Elva Trevio Hart'],unknown,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,What Night Brings,['Carla Trujillo'],unknown,29
Fall 2013,Topics in Chicana/o Literature and Culture:  Gender and Class,English 137T,1,The Devil's Highway,['Luis Alberto Urrea'],male,29
Fall 2013,"Modes of Writing (Exposition, Fiction, Verse, etc.):  Race, Creative Writing, and Difference",English 141,1,Running in the Family,['Michael Ondaatje'],male,44
Fall 2013,"Modes of Writing (Exposition, Fiction, Verse, etc.):  Race, Creative Writing, and Difference",English 141,1,Covering,['Kenji Yoshino'],male,44
Fall 2013,"Prose Nonfiction:  Traveling, Thinking, Writing",English 143N,1,Backroads to Far Towns,"['Bash Matsuo', 'Cid Corman', 'Susumu Kamaike']",Multiple Authors,12
Fall 2013,"Prose Nonfiction:  Traveling, Thinking, Writing",English 143N,1,Heart of Darkness,['Joseph Conrad'],male,12
Fall 2013,"Prose Nonfiction:  Traveling, Thinking, Writing",English 143N,1,Event Factory,['Renee Gladman'],female,12
Fall 2013,"Prose Nonfiction:  Traveling, Thinking, Writing",English 143N,1,Mississippi Solo,['Eddy Harris'],male,12
Fall 2013,"Prose Nonfiction:  Traveling, Thinking, Writing",English 143N,1,Boomer Railroad Memoirs,['Linda G. Niemann'],female,12
Fall 2013,Women Writers:  Early American Women Writers,English 152,1,Journeys in New Worlds,"['William L. Andrews', 'Annette Kolodny', 'Daniel B. Shea', 'Sargent Bush', 'Amy Schrager Lang']",Multiple Authors,55
Fall 2013,Women Writers:  Early American Women Writers,English 152,1,First Generations: Women in Colonial America,['Carol Berkin'],female,55
Fall 2013,Women Writers:  Early American Women Writers,English 152,1,The Coquette,['Hannah Webster Foster'],female,55
Fall 2013,Women Writers:  Early American Women Writers,English 152,1,The History of Mary Prince,['Mary Prince'],female,55
Fall 2013,Women Writers:  Early American Women Writers,English 152,1,Charlotte Temple,['Mrs'],female,55
Fall 2013,Women Writers:  Early American Women Writers,English 152,1,Hope Leslie,['Catharine Maria Sedgwick'],female,55
Fall 2013,Special Topics:  Modern Poetry,English 165,1,"The Norton Anthology of Modern and Contemporary Poetry, 3rd Ed. (2 Volumes, paperback)",Could not find author,,16
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,The Aliens,['Jim Al-Khalili'],male,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,Anna in the Tropics,['Nilo Cruz'],male,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,No More Cherry Blossoms,['Philip Kan Gotanda'],male,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,Yellow Face,['Krystyn R. Moon'],unknown,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,Osage County,['David Grann'],male,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,TopdogUnderdog,['Suzan-Lori Parks'],female,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,In the Next Room or the Vibrator Play,['Sarah Ruhl'],female,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,One Flea Spare,['Naomi Wallace'],female,21
Fall 2013,Special Topics:  Engaging the Play--Being the Player,English 166,2,Joe Turner's Come and Gone,['August Wilson'],male,21
Fall 2013,Special Topics:  Literature and Science from the Romantics to the Present,English 166,1,The Marriage of Heaven and Hell,['William Blake'],male,28
Fall 2013,Special Topics:  Literature and Science from the Romantics to the Present,English 166,1,Do Androids Dream of Electric Sheep?,['Philip Dick'],male,28
Fall 2013,Special Topics:  Literature and Science from the Romantics to the Present,English 166,1,Neuromancer,['William Gibson'],male,28
Fall 2013,Special Topics:  Literature and Science from the Romantics to the Present,English 166,1,Literature and Science in the Nineteenth Century,['Laura Otis'],female,28
Fall 2013,Special Topics:  Literature and Science from the Romantics to the Present,English 166,1,Frankenstein,['Mary Shelley'],female,28
Fall 2013,Special Topics:  Literature and Science from the Romantics to the Present,English 166,1,The Time Machine,['Herbert George Wells'],male,28
Fall 2013,Special Topics in American Cultures:  Race and Revision in Early America,English 166AC,1,"Clotel, or the Presidents Daughter",[William Wells Brown],male,89
Fall 2013,Special Topics in American Cultures:  Race and Revision in Early America,English 166AC,1,A Tempest,"['Aim Csaire', 'Richard Miller']",Multiple Authors,89
Fall 2013,Special Topics in American Cultures:  Race and Revision in Early America,English 166AC,1,Notes on the State of Virginia,Could not find author,,89
Fall 2013,Special Topics in American Cultures:  Race and Revision in Early America,English 166AC,1,A Mercy,['Toni Morrison'],female,89
Fall 2013,Special Topics in American Cultures:  Race and Revision in Early America,English 166AC,1,The Tempest: A Case Study,"['William Shakespeare', 'Gerald Graff', 'James Phelan']",Multiple Authors,89
Fall 2013,Literature and Disability,English 175,1,Regeneration,['Pat Barker'],female,45
Fall 2013,Literature and Disability,English 175,1,Geek Love,['Katherine Dunn'],female,45
Fall 2013,Literature and Disability,English 175,1,Call Me Ahab,['Anne Finger'],female,45
Fall 2013,Literature and Disability,English 175,1,Molly Sweeney,['Brian Friel'],male,45
Fall 2013,Literature and Disability,English 175,1,Beyond Victims and Villains,['Victoria Lewis'],female,45
Fall 2013,Literature and Disability,English 175,1,Children of a Lesser God,['Mark Howard Medoff'],male,45
Fall 2013,Literature and Disability,English 175,1,Richard III,['William Shakespeare'],male,45
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,Autobiography of a Brown Buffalo,['Oscar Zeta Acosta'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,Narrative of the Life of Frederick Douglass,['Frederick Douglass'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,The Souls of Black Folk,['W. E. B. Du Bois'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,Funny in Farsi,['Firoozeh Dumas'],female,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,The Autobiography of Benjamin Franklin,['Benjamin Franklin'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,The Woman Warrior,['Maxine Hong Kingston'],female,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,The Way to Rainy Mountain,['N. Scott Momaday'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,Walden,['Henry David Thoreau'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,Song of Myself,['Walt Whitman'],male,42
Fall 2013,"Autobiography:  American Autobiography: Race, Gender, Culture",English 180A,1,When I Was a Slave: Memoirs from the Slave Narrative Collection,['Norman R. Yetman'],male,42
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,The Wonderful Wizard of Oz,['L. Frank Baum'],male,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,The Sound and the Fury,['William Faulkner'],male,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,The Great Gatsby,['F. Scott Fitzgerald'],male,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,The Autobiography of an Ex-Coloured Man,['James Weldon Johnson'],male,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,Beloved,['Toni Morrison'],female,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,Lolita,['Vladimir Nabokov'],male,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,The Crying of Lot 49,['Thomas Pynchon'],male,128
Fall 2013,The Novel:  The American Novel Since 1900,English 180N,1,The House of Mirth,['Edith Wharton'],unknown,128
Fall 2013,Research Seminar:  Victorian Sensations,English 190,1,Lady Audley's Secret,['Mary Elizabeth Braddon'],female,13
Fall 2013,Research Seminar:  Victorian Sensations,English 190,1,The Woman in White,Could not find author,,13
Fall 2013,Research Seminar:  Victorian Sensations,English 190,1,Adam Bede,['George Eliot'],female,13
Fall 2013,Research Seminar:  Victorian Sensations,English 190,1,The Picture of Dorian Gray,['Oscar Wilde'],male,13
Fall 2013,Research Seminar:  The Urban Postcolonial,English 190,6,Love and Longing in Bombay,['Vikram Chandra'],male,18
Fall 2013,Research Seminar:  The Urban Postcolonial,English 190,6,Kingston Noir,['Colin Channer'],male,18
Fall 2013,Research Seminar:  The Urban Postcolonial,English 190,6,Open City,['Teju Cole'],male,18
Fall 2013,Research Seminar:  The Urban Postcolonial,English 190,6,Harlem is Nowhere,['Sharifa Rhodes-Pitts'],unknown,18
Fall 2013,Research Seminar:  The Urban Postcolonial,English 190,6,White Teeth,['Zadie Smith'],male,18
Fall 2013,Research Seminar:  Suspicious Mind,English 190,8,The Blithesdale Romance,['Nathaniel Hawthorne'],male,16
Fall 2013,Research Seminar:  Suspicious Mind,English 190,8,The Turn of the Screw,['Henry James'],male,16
Fall 2013,Research Seminar:  Suspicious Mind,English 190,8,The Purloined Letter,['Edgar Allan Poe'],male,16
Fall 2013,Research Seminar:  Words and Images: The Intellectual Marketplace of Antebellum America,English 190,9,"The Life of P.T. Barnum, Written by Himself",['Phineas Taylor Barnum'],male,20
Fall 2013,Research Seminar:  Words and Images: The Intellectual Marketplace of Antebellum America,English 190,9,The Autobiography of Benjamin Franklin with Related Documents,"['Benjamin Franklin', 'Louis P. Masur']",Multiple Authors,20
Fall 2013,Research Seminar:  The Politics and Aesthetics of Participation,English 190,11,The Human Condition,['Hannah Arendt'],female,5
Fall 2013,Research Seminar:  The Politics and Aesthetics of Participation,English 190,11,The Pleasure of the Text,['Roland Barthes'],male,5
Fall 2013,Research Seminar:  The Politics and Aesthetics of Participation,English 190,11,The Caucausian Chalk Circle,['Bertolt Brecht'],male,5
Fall 2013,Research Seminar:  The Politics and Aesthetics of Participation,English 190,11,The Society of the Spectacle,['Guy Debord'],male,5
Fall 2013,Research Seminar:  The Politics and Aesthetics of Participation,English 190,11,Pedagogy of the Oppressed,['Paulo Freire'],male,5
Fall 2013,Research Seminar:  Metaphysical Poets from Donne to Vaughan,English 190,12,Metaphysical Poetry,['Paul Negri'],unknown,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,"Are You There, God? It's Me, Margaret",['Judy Blume'],female,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Annotated Alice,['Lewis Carroll'],male,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Diary of a Young Girl,['Anne Frank'],female,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Golden Compass,['Philip Pullman'],male,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Where the Wild Things Are,['Maurice Sendak'],male,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Adventures of Huckleberry Finn,['Mark Twain'],male,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Little House on the Prairie,['Laura Ingalls Wilder'],female,25
Fall 2013,Research Seminar:  Studies in Children's Literature,English 190,15,Norton Anthology of Children's Literature,['Jack Zipes'],male,25
Fall 2013,Research Seminar:  Film Noir,English 190,16,Women in Fim Noir,['E. Ann Kaplan'],female,24
Fall 2013,Research Seminar:  Film Noir,English 190,16,Mean Streets and Raging Bulls,['Richard Martin'],male,24
Fall 2013,Research Seminar:  Film Noir,English 190,16,Film Noir Readfer 4,"['Alain Silver', 'James Ursini']",Multiple Authors,24
Fall 2013,Research Seminar:  Film Noir,English 190,16,Voices in the Dark,['J. P. Telotte'],unknown,24
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,Looking Backward 2000-1887,['Edward Bellamy'],female,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,Do Androids Dream of Electric Sheep?,['Philip Dick'],male,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,Herland,['Charlotte Perkins Gilman'],female,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,Brave New World,['Aldous Huxley'],male,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,Utopia,"['Sir Thomas More (Saint)', 'George M. Logan', 'Robert M. Adams']",Multiple Authors,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,News from Nowhere,['William Morris'],male,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,1984,['George Orwell'],male,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,Three Prophetic Novels,['Herbert George Wells'],male,23
Fall 2013,Research Seminar:  Utopian and Dystopian Literature,English 190,17,We,['Jeff Chang'],male,23
Fall 2013,Honors Course,English H195A,1,S/Z,['Roland Barthes'],male,17
Fall 2013,Honors Course,English H195A,2,S/Z,['Roland Barthes'],male,17
Fall 2013,Honors Course,English H195A,2,The Uses of Literature,['Italo Calvino'],male,17
Fall 2013,Honors Course,English H195A,2,Purloined Poe,"['John P. Muller', 'William J. Richardson']",Multiple Authors,17
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Open City,['Teju Cole'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Specimen Days,['Michael Cunningham'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Falling Man,['Don DeLillo'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Pattern Recognition,['William Gibson'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Once in a Promised Land,['Laila Halaby'],female,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,The Reluctant Terrorist,['Mohsin Hamid'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Remainder,['Tom McCarthy'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Saturday,['Ian McEwan'],male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,A Gate at the Stairs,['Lorrie Moore'],female,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Netherland,"[""Joseph O'Neill""]",male,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,The Submission,['Amy Waldman'],female,7
Fall 2013,Graduate Readings:  Post-9/11 Fiction,English 203,1,Zone One,['Colson Whitehead'],male,7
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Let Us Now Praise Famous Men,"['James Agee', 'Walker Evans']",Multiple Authors,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Manhattan Transfer,['John Dos Passos'],male,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Zeroville,['Steve Erickson'],male,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Sanctuary,['Judith McDaniel'],female,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Tender Is the Night,['Fitzgerald Francis Scott'],male,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Pattern Recognition,['William Gibson'],male,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Gentlemen Prefer Blondes and But Gentlemen Marry Brunettes,['Anita Loos'],female,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,Miss Lonelyhearts and the Day of the Locust,['Nathanael West'],male,12
Fall 2013,Graduate Readings:  Modernism and Film,English 203,2,To the Lighthouse,['Virginia Woolf'],male,12
Fall 2013,Old English,English 205A,1,"Introduction to Old English, 3rd ed.",['Peter S. Baker'],male,10
Fall 2013,Old English,English 205A,1,Old English Literature: Critical Essays,['R. M. Liuzza'],male,10
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful,['Edmund Burke'],male,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,Reflections on the Revolution in France,['Edmund Burke'],male,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,"Evelina: Or, the History of a Young Lady's Entrance into the World",['Fanny Burney'],female,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,Samuel Johnson: Selected Poetry and Prose,"['Frank Brady', 'William Wimsatt']",Multiple Authors,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,Journey to the Western Islands of Scotland and Journal of a Tour of the Hebrides,['Samuel Johnson'],male,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,Theory of Moral Sentiments,['Adam Smith (conomiste)'],Could not find author,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,A Sentimental Journey,"['Laurence Sterne', 'Jane Austen']",Multiple Authors,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,The Castle of Otranto,['Horace Walpole (4th earl of Orford.)'],male,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,"Letters, Written in France",['Helen Maria Williams'],male,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,Keywords: A Vocabulary of Culture and Society,['Raymond Williams'],male,9
Fall 2013,Graduate Proseminar:  The Later-Eighteenth Century,English 246F,1,Lyrical Ballads: 1798 and 1800,"['William Wordsworth', 'Samuel Taylor Coleridge']",Multiple Authors,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,White Tiger,['Aravind Adiga'],male,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,Aesthetics and Politics,['Ernst Bloch'],male,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,The Political Unconscious,['Fredric Jameson'],male,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,The Historical Novel,['Herbert Butterfield'],male,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,Home,['Marilynne Robinson'],male,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,Personal Days,['Ed Park'],male,9
Fall 2013,Research Seminar:  Critical and Peripheral Realisms,English 250,1,A Master on the Periphery of Capitalism,['Roberto Schwarz'],male,9
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,The Riverside Chaucer,"['Geoffrey Chaucer', 'Larry Dean Benson']",Multiple Authors,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,Art and Beauty in the Middle Ages,['Umberto Eco'],male,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,The French Balades,"['John Gower', 'Robert F. Yeager']",Multiple Authors,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,My Compleinte and Other Poems,"['Thomas Hoccleve', 'Roger Ellis']",Multiple Authors,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,Tottel's Miscellany,['Amanda Holton'],female,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,Mummings and Entertainments,"['John Lydgate', 'Claire Sponsler']",Multiple Authors,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,Edmund Spenser's Poetry,"['Edmund Spenser', 'Anne Lake Prescott']",Multiple Authors,13
Fall 2013,Research Seminar:  Sensory Aesthetics in Late Medieval and Early Renaissance Poetry and Drama,English 250,2,Complete Poems,['Marianne Moore'],female,13
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,Wilhelm Meister's Apprenticeship,['Johann Wolfgang von Goethe'],male,15
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,Notre Dame de Paris,['Victor Hugo'],male,15
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,Discourse on the Origin of Inequality,['Jean-Jacques Rousseau'],male,15
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,Ivanhoe,['Sir Walter Scott'],male,15
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,Waverley,['Walter Scott'],male,15
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,Frankenstein (1818),['Mary Shelley'],female,15
Fall 2013,Research Seminar:  The Romantic Novel and the History of Man,English 250,3,"Corinne, or Italy",['Madame de Stal (Anne-Louise-Germaine)'],female,15
Fall 2013,Field Studies in Tutoring Writing,English 310,1,The Practical Tutor,"['Emily Meyer', 'Louise Z. Smith']",Multiple Authors,4
Spring 2014,Reading & Composition:  That Way Madness Lies,English R1A,1,Alice's Adventures in Wonderland and Through the Looking-Glass,['Lewis Carroll'],male,16
Spring 2014,Reading & Composition:  That Way Madness Lies,English R1A,1,"Rules for Writers, 7th ed.","['Diana Hacker', 'Nancy Sommers']",Multiple Authors,16
Spring 2014,Reading & Composition:  That Way Madness Lies,English R1A,1,The Private Memoirs and Confessions of a Justified Sinner,Could not find author,,16
Spring 2014,Reading & Composition:  That Way Madness Lies,English R1A,1,King Lear,['William Shakespeare'],male,16
Spring 2014,"Reading & Composition:   The Afterworlds of the American Revolution, 1776-1819",English R1A,2,The Narrative of Colonel of Ethan Allen,['Ethan Allen'],male,17
Spring 2014,"Reading & Composition:   The Afterworlds of the American Revolution, 1776-1819",English R1A,2,Edgar Huntly,"['Charles Brockden Brown', 'Philip Barnard', 'Stephen Shapiro']",Multiple Authors,17
Spring 2014,"Reading & Composition:   The Afterworlds of the American Revolution, 1776-1819",English R1A,2,Wieland,['Charles Brockden Brown'],male,17
Spring 2014,"Reading & Composition:   The Afterworlds of the American Revolution, 1776-1819",English R1A,2,Charlotte Temple,['Mrs. Rowson'],female,17
Spring 2014,"Reading & Composition:   The Afterworlds of the American Revolution, 1776-1819",English R1A,2,Letters from an American Farmer,"['J. Hector St. John de Crvecoeur', 'William Peterfield Trent', 'Ludwig Lewisohn']",Multiple Authors,17
Spring 2014,Reading & Composition:  The Matter of Troy,English R1A,4,Troilus and Criseyde,['Geoffrey Chaucer'],male,18
Spring 2014,Reading & Composition:  The Matter of Troy,English R1A,4,The Iliad,['Homer'],male,18
Spring 2014,Reading & Composition:  The Matter of Troy,English R1A,4,Troilus and Cressida,['William Shakespeare'],male,18
Spring 2014,Reading & Composition:  The Matter of Troy,English R1A,4,The Aeneid,['Virgil'],male,18
Spring 2014,Reading & Composition:  From Nature Writing to Ecopoetics,English R1A,5,Pilgrim at Tinker Creek,['Annie Dillard'],female,17
Spring 2014,Reading & Composition:  From Nature Writing to Ecopoetics,English R1A,5,Urban Tumbleweed: Notes from a Tanka Diary,['Harryette Mullen'],female,17
Spring 2014,Reading & Composition:  From Nature Writing to Ecopoetics,English R1A,5,Walden and Civil Disobedience,['Henry David Thoreau'],male,17
Spring 2014,Reading & Composition:  Life on the Inside and Outside,English R1A,6,Madame Bovary,Could not find author,,17
Spring 2014,Reading & Composition:  Life on the Inside and Outside,English R1A,6,The Turn of the Screw,['Henry James'],male,17
Spring 2014,Reading & Composition:  Life on the Inside and Outside,English R1A,6,A Midsummer Night's Dream,['William Shakespeare'],male,17
Spring 2014,Reading & Composition:  Life on the Inside and Outside,English R1A,6,Mrs. Dalloway,['Virginia Woolf'],male,17
Spring 2014,Reading & Composition:  Life on the Inside and Outside,English R1A,6,The Major Works,['John Milton'],male,17
Spring 2014,Reading & Composition:  Sympathy and the Problem of Identification,English R1A,7,Northanger Abbey,['Jane Austen'],female,14
Spring 2014,Reading & Composition:  Sympathy and the Problem of Identification,English R1A,7,Foe,['J M Coetzee'],male,14
Spring 2014,Reading & Composition:  Sympathy and the Problem of Identification,English R1A,7,Fox Bunny Funny,['Andy Hartzell'],male,14
Spring 2014,Reading & Composition:  Sympathy and the Problem of Identification,English R1A,7,Never Let Me Go,['Kazuo Ishiguro'],male,14
Spring 2014,Reading & Composition:  Sympathy and the Problem of Identification,English R1A,7,A Midsummer Night's Dream,['William Shakespeare'],male,14
Spring 2014,Reading & Composition:  Sympathy and the Problem of Identification,English R1A,7,Frankenstein,['Mary Wollstonecraft Shelley'],female,14
