Spring 2012,Reading & Composition:  Ghosts of the Past,English R1A,Rules for Writers,"['Diana Hacker', 'Nancy Sommers']",Multiple Authors,8,"Knox,Marisa"
Spring 2012,Reading & Composition:  Ghosts of the Past,English R1A,Remains of the Day,['Kazuo Ishiguro'],male,8,"Knox,Marisa"
Spring 2012,Reading & Composition:  Writing About Literarary Experience,English R1A,The Essential Tales of Chekhov,['Anton Pavlovich Chekhov'],male,9,"Jordan,Joseph"
Spring 2012,Reading & Composition:  Writing About Literarary Experience,English R1A,Oliver Twist,['Charles Dickens'],male,9,"Jordan,Joseph"
Spring 2012,Reading & Composition:  Writing About Literarary Experience,English R1A,MLA Handbook for Writers of Research Papers,['Joseph Gibaldi'],male,9,"Jordan,Joseph"
Spring 2012,Reading & Composition:  Writing About Literarary Experience,English R1A,Macbeth,['William Shakespeare'],male,9,"Jordan,Joseph"
Spring 2012,Reading & Composition:  Totality Chic,English R1A,Farm City,['Novella Carpenter'],unknown,10,"Fan,Christopher"
Spring 2012,Reading & Composition:  Totality Chic,English R1A,Eating Animals,['Jonathan Safran Foer'],male,10,"Fan,Christopher"
Spring 2012,Reading & Composition:  Totality Chic,English R1A,The Omnivore's Dilemma,['Michael Pollan'],male,10,"Fan,Christopher"
Spring 2012,Reading & Composition:  American Exposures,English R1A,"The Life of P.T. Barnum, Written by Himself",['Phineas Taylor Barnum'],male,11,"Clinton,Daniel"
Spring 2012,Reading & Composition:  American Exposures,English R1A,Ruth Hall,['Fanny Fern'],female,11,"Clinton,Daniel"
Spring 2012,Reading & Composition:  American Exposures,English R1A,The Autobiography and Other Writings,['Benjamin Franklin'],male,11,"Clinton,Daniel"
Spring 2012,Reading & Composition:  American Exposures,English R1A,Incidents in the Life of a Slave Girl,['Harriet Ann Jacobs'],female,11,"Clinton,Daniel"
Spring 2012,Reading & Composition:  American Exposures,English R1A,Leaves of Grass,['Walt Whitman'],male,11,"Clinton,Daniel"
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,The Blithedale Romance,['Nathaniel Hawthorne'],male,13,"Rahimtoola,Samia"
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,Frankenstein,['Mary Shelley'],female,13,"Rahimtoola,Samia"
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,Walden,['Henry David Thoreau'],male,13,"Rahimtoola,Samia"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,Riding the Trail of Tears,['Blake M. Hausman'],unknown,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,The Absolutely True Diary of a Part-Time Indian,['Sherman Alexie'],male,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,The Columbia Guide to American Indian Literatures of the United States Since 1945,['Eric Cheyfitz'],male,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,The Plague of the Doves,['Louise Erdrich'],female,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,The Ledgerbook of Tomas Blue Eagle,"['Jean Afton', 'Richard N. Ellis']",Multiple Authors,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,The Cambridge Companion to Native American Literature,"['Joy Porter', 'Kenneth M. Roemer']",Multiple Authors,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,Reckonings: Contemporary Short Fiction by Native American Women,"['Hertha D. Sweet Wong', 'Lauren Stuart Muller', 'Jana Sequoya Magdaleno']",Multiple Authors,1,"Gillis,Brian"
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,The Souls of Black Folk,['W. E. B. Du Bois'],male,2,"Rana,Swati"
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,The Woman Warrior,['Maxine Hong Kingston'],female,2,"Rana,Swati"
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,Caste and Outcast,['Dhan Gopal Mukerji'],male,2,"Rana,Swati"
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,Hunger of Memory,['Richard Rodriguez'],male,2,"Rana,Swati"
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,Regeneration,['Pat Barker'],female,3,"Jeziorek,Alek"
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,Parade's End,['Ford Madox Ford'],male,3,"Jeziorek,Alek"
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,All Quiet on the Western Front,"['Center for Learning Network Staff', 'Erich-Maria Remarque']",Multiple Authors,3,"Jeziorek,Alek"
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,Mrs. Dalloway,['Virginia Woolf'],male,3,"Jeziorek,Alek"
Spring 2012,Reading & Composition:  Victorian Research,English R1B,The Moonstone,['Wilkie Collins'],male,6,"TerlaakPoot,"
Spring 2012,Reading & Composition:  Victorian Research,English R1B,Sketches by Boz,['Charles Dickens'],male,6,"TerlaakPoot,"
Spring 2012,Reading & Composition:  Victorian Research,English R1B,The Lost World,['Arthur Conan Doyle'],male,6,"TerlaakPoot,"
Spring 2012,Reading & Composition:  Victorian Research,English R1B,The Library Window,['Mrs. Oliphant (Margaret)'],female,6,"TerlaakPoot,"
Spring 2012,Reading & Composition:  Victorian Research,English R1B,The Strange Case of Dr Jekyll and Mr Hyde,['Robert Louis Stevenson'],male,6,"TerlaakPoot,"
Spring 2012,Reading & Composition:  Victorian Research,English R1B,Dracula,['Bram Stoker'],female,6,"TerlaakPoot,"
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,Bastard Out of Carolina,['Dorothy Allison'],female,7,"Seeger,Andrea"
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,Go Tell It On the Mountain,['James Baldwin'],male,7,"Seeger,Andrea"
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,Light in August,['William Faulkner'],male,7,"Seeger,Andrea"
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,Beloved,['Toni Morrison'],female,7,"Seeger,Andrea"
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,Robinson Crusoe,['Daniel Defoe'],male,8,"Shelley,Jonathan"
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,Utopia,['Thomas More'],male,8,"Shelley,Jonathan"
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,The Tempest,['William Shakespeare'],male,8,"Shelley,Jonathan"
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,The Writings of Jonathan Swift,['Jonathan Swift'],male,8,"Shelley,Jonathan"
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,The Island of Dr. Moreau,['Herbert George Wells'],male,8,"Shelley,Jonathan"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,Sherlock Holmes: Selected Stories,['Arthur Conan Doyle'],male,10,"Mershon,Ella"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,"Billy Budd, Sailor and Selected Tales",['Herman Melville'],male,10,"Mershon,Ella"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,Selected Tales,['Edgar Allan Poe'],male,10,"Mershon,Ella"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,Frankenstein,['Mary Shelley'],female,10,"Mershon,Ella"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,Strange Case of Dr. Jekyll and Mr. Hyde,['Robert Louis Stevenson'],male,10,"Mershon,Ella"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,Dracula,['Bram Stoker'],female,10,"Mershon,Ella"
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,The Year of Magical Thinking,['Joan Didion'],female,11,"Fritz,Tracy"
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,Rules for Writers,"['Diana Hacker', 'Nancy Sommers']",Multiple Authors,11,"Fritz,Tracy"
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,The Long Goodbye,['Raymond Chandler'],male,11,"Fritz,Tracy"
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,A Widow's Story,['Joyce Carol Oates'],female,11,"Fritz,Tracy"
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,About Alice,['Calvin Trillin'],male,11,"Fritz,Tracy"
Spring 2012,Reading & Composition:  Late Victorians,English R1B,The Lifted Veil and Brother Jacob,['George Eliot'],female,12,"Naturale,Lauren"
Spring 2012,Reading & Composition:  Late Victorians,English R1B,The Return of the Native,['Thomas Hardy'],male,12,"Naturale,Lauren"
Spring 2012,Reading & Composition:  Late Victorians,English R1B,Goblin Market and Other Poems,['Christina Georgina Rossetti'],male,12,"Naturale,Lauren"
Spring 2012,Reading & Composition:  Late Victorians,English R1B,Dracula,['Bram Stoker'],female,12,"Naturale,Lauren"
Spring 2012,Reading & Composition:  Late Victorians,English R1B,The Picture of Dorian Gray,['Oscar Wilde'],male,12,"Naturale,Lauren"
Spring 2012,Reading & Composition:  Country and City,English R1B,Pilgrim at Tinker Creek,['Annie Dillard'],female,14,"Bauer,Mark"
Spring 2012,Reading & Composition:  Country and City,English R1B,The Great Gatsby,['F. Scott Fitzgerald'],male,14,"Bauer,Mark"
Spring 2012,Reading & Composition:  Country and City,English R1B,Tess of the D'Urbervilles,['Thomas Hardy'],male,14,"Bauer,Mark"
Spring 2012,Reading & Composition:  Country and City,English R1B,The Crying of Lot 49,['Thomas Pynchon'],male,14,"Bauer,Mark"
Spring 2012,Reading & Composition:  Storytelling,English R1B,If on a winter's night a traveller,['Italo Calvino'],male,15,"Gordon,Zachary"
Spring 2012,Reading & Composition:  Storytelling,English R1B,Writing Analytically,"['David Rosenwasser', 'Jill Stephen']",Multiple Authors,15,"Gordon,Zachary"
Spring 2012,Reading & Composition:  Storytelling,English R1B,Slouching Towards Bethlehem,['Joan Didion'],female,15,"Gordon,Zachary"
