Spring 2012,Reading & Composition:  American Exposures,English R1A,11,"Clinton,Daniel",Incidents in the Life of a Slave Girl
Spring 2012,Reading & Composition:  American Exposures,English R1A,11,"Clinton,Daniel",Leaves of Grass
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,13,"Rahimtoola,Samia",The Blithedale Romance
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,13,"Rahimtoola,Samia",Frankenstein
Spring 2012,Reading & Composition:  19th- and 20th-Century Experiment/alisms,English R1A,13,"Rahimtoola,Samia",Walden
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",Riding the Trail of Tears
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",The Absolutely True Diary of a Part-Time Indian
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",The Columbia Guide to American Indian Literatures of the United States Since 1945
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",The Plague of the Doves
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",The Ledgerbook of Tomas Blue Eagle
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",The Cambridge Companion to Native American Literature
Spring 2012,Reading & Composition:  21st-Century Native American Fiction,English R1B,1,"Gillis,Brian",Reckonings: Contemporary Short Fiction by Native American Women
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,"Rana,Swati",The Souls of Black Folk
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,"Rana,Swati",The Woman Warrior
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,"Rana,Swati",Caste and Outcast
Spring 2012,Reading & Composition:  U.S. Autobiography as Ethnography,English R1B,2,"Rana,Swati",Hunger of Memory
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,"Jeziorek,Alek",Regeneration
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,"Jeziorek,Alek",Parade's End
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,"Jeziorek,Alek",All Quiet on the Western Front
Spring 2012,Reading & Composition:  No Man's Land--Dividing Lines in the Great War,English R1B,3,"Jeziorek,Alek",Mrs. Dalloway
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,"TerlaakPoot,",The Moonstone
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,"TerlaakPoot,",Sketches by Boz
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,"TerlaakPoot,",The Lost World
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,"TerlaakPoot,",The Library Window
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,"TerlaakPoot,",The Strange Case of Dr Jekyll and Mr Hyde
Spring 2012,Reading & Composition:  Victorian Research,English R1B,6,"TerlaakPoot,",Dracula
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,"Seeger,Andrea",Bastard Out of Carolina
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,"Seeger,Andrea",Go Tell It On the Mountain
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,"Seeger,Andrea",Light in August
Spring 2012,"Reading & Composition:  Speaking the Unspeakable, Voicing the Unspoken",English R1B,7,"Seeger,Andrea",Beloved
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,"Shelley,Jonathan",Robinson Crusoe
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,"Shelley,Jonathan",Utopia
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,"Shelley,Jonathan",The Tempest
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,"Shelley,Jonathan",The Writings of Jonathan Swift
Spring 2012,Reading & Composition:  Beyond Islands,English R1B,8,"Shelley,Jonathan",The Island of Dr. Moreau
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Mershon,Ella",Sherlock Holmes: Selected Stories
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Mershon,Ella","Billy Budd, Sailor and Selected Tales"
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Mershon,Ella",Selected Tales
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Mershon,Ella",Frankenstein
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Mershon,Ella",Strange Case of Dr. Jekyll and Mr. Hyde
Spring 2012,Reading & Composition:  Strange Cases,English R1B,10,"Mershon,Ella",Dracula
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,"Fritz,Tracy",The Year of Magical Thinking
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,"Fritz,Tracy",Rules for Writers
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,"Fritz,Tracy",The Long Goodbye
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,"Fritz,Tracy",A Widow's Story
Spring 2012,Reading & Composition:  Recent Memoirs on Loss,English R1B,11,"Fritz,Tracy",About Alice
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,"Naturale,Lauren",The Lifted Veil and Brother Jacob
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,"Naturale,Lauren",The Return of the Native
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,"Naturale,Lauren",Goblin Market and Other Poems
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,"Naturale,Lauren",Dracula
Spring 2012,Reading & Composition:  Late Victorians,English R1B,12,"Naturale,Lauren",The Picture of Dorian Gray
Spring 2012,Reading & Composition:  Country and City,English R1B,14,"Bauer,Mark",Pilgrim at Tinker Creek
Spring 2012,Reading & Composition:  Country and City,English R1B,14,"Bauer,Mark",The Great Gatsby
Spring 2012,Reading & Composition:  Country and City,English R1B,14,"Bauer,Mark",Tess of the D'Urbervilles
